Unnamed: 0,Allocation,Year,Size,Distance_x,Demand (km),ID,Vehicle,Cost ($),Yearly range (km),Distance_y,Operating Year,Fuel,carbon_emissions,insurance_cost,maintenance_cost,fuel_costs,Total_Cost,Topsis_Score,Rank,Distance
16,LNG_S1_2023,2023,S1,D4,414315,LNG_S1_2023,LNG,100000,102000,D4,2023,BioLNG,6375.2658937020005,5000.0,1000.0,18325.652864760003,24325.652864760003,0.977907476157084,1.0,D4
17,BEV_S2_2023,2023,S2,D1,995694,BEV_S2_2023,BEV,272000,106000,D1,2023,Electricity,0.0,13600.0,2720.0,18231.8058928,34551.805892799995,0.885680711186359,2.0,D1
18,Diesel_S2_2023,2023,S2,D1,995694,Diesel_S2_2023,Diesel,104000,106000,D4,2023,B20,72337.65739696,5200.0,1040.0,28968.472422079994,35208.47242208,0.17228067689093252,5.0,D1
19,Diesel_S2_2023,2023,S2,D1,995694,Diesel_S2_2023,Diesel,104000,106000,D4,2023,HVO,11570.494410688,5200.0,1040.0,43050.51374472,49290.51374472,0.6847141299285149,3.0,D1
20,LNG_S2_2023,2023,S2,D1,995694,LNG_S2_2023,LNG,133000,106000,D4,2023,LNG,43546.448237460005,6650.0,1330.0,17718.86218108,25698.86218108,0.4688886061018254,4.0,D1
21,LNG_S2_2023,2023,S2,D1,995694,LNG_S2_2023,LNG,133000,106000,D4,2023,BioLNG,6706.54836679,6650.0,1330.0,19277.9217902,27257.9217902,0.90987803283635,1.0,D1
22,Diesel_S2_2023,2023,S2,D2,1383196,Diesel_S2_2023,Diesel,104000,106000,D4,2023,B20,72337.65739696,5200.0,1040.0,28968.472422079994,35208.47242208,0.20237764473848105,4.0,D2
23,Diesel_S2_2023,2023,S2,D2,1383196,Diesel_S2_2023,Diesel,104000,106000,D4,2023,HVO,11570.494410688,5200.0,1040.0,43050.51374472,49290.51374472,0.6789758004700812,2.0,D2
24,LNG_S2_2023,2023,S2,D2,1383196,LNG_S2_2023,LNG,133000,106000,D4,2023,LNG,43546.448237460005,6650.0,1330.0,17718.86218108,25698.86218108,0.5229381240996789,3.0,D2
25,LNG_S2_2023,2023,S2,D2,1383196,LNG_S2_2023,LNG,133000,106000,D4,2023,BioLNG,6706.54836679,6650.0,1330.0,19277.9217902,27257.9217902,0.9742351991187491,1.0,D2
26,Diesel_S2_2023,2023,S2,D3,778008,Diesel_S2_2023,Diesel,104000,106000,D4,2023,B20,72337.65739696,5200.0,1040.0,28968.472422079994,35208.47242208,0.20237764473848105,4.0,D3
27,Diesel_S2_2023,2023,S2,D3,778008,Diesel_S2_2023,Diesel,104000,106000,D4,2023,HVO,11570.494410688,5200.0,1040.0,43050.51374472,49290.51374472,0.6789758004700812,2.0,D3
28,LNG_S2_2023,2023,S2,D3,778008,LNG_S2_2023,LNG,133000,106000,D4,2023,LNG,43546.448237460005,6650.0,1330.0,17718.86218108,25698.86218108,0.5229381240996789,3.0,D3
29,LNG_S2_2023,2023,S2,D3,778008,LNG_S2_2023,LNG,133000,106000,D4,2023,BioLNG,6706.54836679,6650.0,1330.0,19277.9217902,27257.9217902,0.9742351991187491,1.0,D3
30,Diesel_S2_2023,2023,S2,D4,133677,Diesel_S2_2023,Diesel,104000,106000,D4,2023,B20,72337.65739696,5200.0,1040.0,28968.472422079994,35208.47242208,0.20237764473848105,4.0,D4
31,Diesel_S2_2023,2023,S2,D4,133677,Diesel_S2_2023,Diesel,104000,106000,D4,2023,HVO,11570.494410688,5200.0,1040.0,43050.51374472,49290.51374472,0.6789758004700812,2.0,D4
32,LNG_S2_2023,2023,S2,D4,133677,LNG_S2_2023,LNG,133000,106000,D4,2023,LNG,43546.448237460005,6650.0,1330.0,17718.86218108,25698.86218108,0.5229381240996789,3.0,D4
33,LNG_S2_2023,2023,S2,D4,133677,LNG_S2_2023,LNG,133000,106000,D4,2023,BioLNG,6706.54836679,6650.0,1330.0,19277.9217902,27257.9217902,0.9742351991187491,1.0,D4
51,BEV_S3_2023,2023,S3,D1,2183475,BEV_S3_2023,BEV,309090,73000,D1,2023,Electricity,0.0,15454.5,3090.9,12572.709216229,31118.109216229,0.8449503499352448,2.0,D1
52,Diesel_S3_2023,2023,S3,D1,2183475,Diesel_S3_2023,Diesel,118181,73000,D4,2023,B20,49868.62895988,5909.05,1181.81,19970.48362824,27061.34362824,0.15274429082979207,5.0,D1
53,Diesel_S3_2023,2023,S3,D1,2183475,Diesel_S3_2023,Diesel,118181,73000,D4,2023,HVO,7976.546565264,5909.05,1181.81,29678.457579660004,36769.317579660004,0.7171876389214018,3.0,D1
54,LNG_S3_2023,2023,S3,D1,2183475,LNG_S3_2023,LNG,151136,73000,D4,2023,LNG,29914.03448901,7556.8,1511.36,12171.89175798,21240.05175798,0.4517286873858747,4.0,D1
55,LNG_S3_2023,2023,S3,D1,2183475,LNG_S3_2023,LNG,151136,73000,D4,2023,BioLNG,4549.567924148,7556.8,1511.36,13077.69806824,22145.85806824,0.9109294197191199,1.0,D1
56,Diesel_S3_2023,2023,S3,D2,2431901,Diesel_S3_2023,Diesel,118181,73000,D4,2023,B20,49868.62895988,5909.05,1181.81,19970.48362824,27061.34362824,0.18509019157738876,4.0,D2
57,Diesel_S3_2023,2023,S3,D2,2431901,Diesel_S3_2023,Diesel,118181,73000,D4,2023,HVO,7976.546565264,5909.05,1181.81,29678.457579660004,36769.317579660004,0.7116979764100205,2.0,D2
58,LNG_S3_2023,2023,S3,D2,2431901,LNG_S3_2023,LNG,151136,73000,D4,2023,LNG,29914.03448901,7556.8,1511.36,12171.89175798,21240.05175798,0.5058950315317208,3.0,D2
59,LNG_S3_2023,2023,S3,D2,2431901,LNG_S3_2023,LNG,151136,73000,D4,2023,BioLNG,4549.567924148,7556.8,1511.36,13077.69806824,22145.85806824,0.980180823036762,1.0,D2
60,Diesel_S3_2023,2023,S3,D3,1002466,Diesel_S3_2023,Diesel,118181,73000,D4,2023,B20,49868.62895988,5909.05,1181.81,19970.48362824,27061.34362824,0.18509019157738876,4.0,D3
61,Diesel_S3_2023,2023,S3,D3,1002466,Diesel_S3_2023,Diesel,118181,73000,D4,2023,HVO,7976.546565264,5909.05,1181.81,29678.457579660004,36769.317579660004,0.7116979764100205,2.0,D3
62,LNG_S3_2023,2023,S3,D3,1002466,LNG_S3_2023,LNG,151136,73000,D4,2023,LNG,29914.03448901,7556.8,1511.36,12171.89175798,21240.05175798,0.5058950315317208,3.0,D3
63,LNG_S3_2023,2023,S3,D3,1002466,LNG_S3_2023,LNG,151136,73000,D4,2023,BioLNG,4549.567924148,7556.8,1511.36,13077.69806824,22145.85806824,0.980180823036762,1.0,D3
64,Diesel_S3_2023,2023,S3,D4,205426,Diesel_S3_2023,Diesel,118181,73000,D4,2023,B20,49868.62895988,5909.05,1181.81,19970.48362824,27061.34362824,0.18509019157738876,4.0,D4
65,Diesel_S3_2023,2023,S3,D4,205426,Diesel_S3_2023,Diesel,118181,73000,D4,2023,HVO,7976.546565264,5909.05,1181.81,29678.457579660004,36769.317579660004,0.7116979764100205,2.0,D4
66,LNG_S3_2023,2023,S3,D4,205426,LNG_S3_2023,LNG,151136,73000,D4,2023,LNG,29914.03448901,7556.8,1511.36,12171.89175798,21240.05175798,0.5058950315317208,3.0,D4
67,LNG_S3_2023,2023,S3,D4,205426,LNG_S3_2023,LNG,151136,73000,D4,2023,BioLNG,4549.567924148,7556.8,1511.36,13077.69806824,22145.85806824,0.980180823036762,1.0,D4
34,BEV_S4_2023,2023,S4,D1,14576,BEV_S4_2023,BEV,395636,118000,D1,2023,Electricity,0.0,19781.800000000003,3956.36,20383.231408432,44121.391408432,0.8641710159921829,2.0,D1
35,Diesel_S4_2023,2023,S4,D1,14576,Diesel_S4_2023,Diesel,151272,118000,D4,2023,B20,79078.90308788,7563.6,1512.72,31668.08417224,40744.40417224,0.1623217488484167,5.0,D1
36,Diesel_S4_2023,2023,S4,D1,14576,Diesel_S4_2023,Diesel,151272,118000,D4,2023,HVO,12648.764683664,7563.6,1512.72,47062.45027566,56138.77027566,0.7059136042325255,3.0,D1
37,LNG_S4_2023,2023,S4,D1,14576,LNG_S4_2023,LNG,193454,118000,D4,2023,LNG,49073.243635080005,9672.7,1934.54,19967.69141784,31574.93141784,0.44161200682026414,4.0,D1
38,LNG_S4_2023,2023,S4,D1,14576,LNG_S4_2023,LNG,193454,118000,D4,2023,BioLNG,7416.792842576001,9672.7,1934.54,21319.514082880003,32926.754082880005,0.9090336269346674,1.0,D1
39,Diesel_S4_2023,2023,S4,D2,754717,Diesel_S4_2023,Diesel,151272,118000,D4,2023,B20,79078.90308788,7563.6,1512.72,31668.08417224,40744.40417224,0.19436068231499928,4.0,D2
40,Diesel_S4_2023,2023,S4,D2,754717,Diesel_S4_2023,Diesel,151272,118000,D4,2023,HVO,12648.764683664,7563.6,1512.72,47062.45027566,56138.77027566,0.7007961734105181,2.0,D2
41,LNG_S4_2023,2023,S4,D2,754717,LNG_S4_2023,LNG,193454,118000,D4,2023,LNG,49073.243635080005,9672.7,1934.54,19967.69141784,31574.93141784,0.49575980110582785,3.0,D2
42,LNG_S4_2023,2023,S4,D2,754717,LNG_S4_2023,LNG,193454,118000,D4,2023,BioLNG,7416.792842576001,9672.7,1934.54,21319.514082880003,32926.754082880005,0.98030312999835,1.0,D2
43,Diesel_S4_2023,2023,S4,D3,118899,Diesel_S4_2023,Diesel,151272,118000,D4,2023,B20,79078.90308788,7563.6,1512.72,31668.08417224,40744.40417224,0.19436068231499928,4.0,D3
44,Diesel_S4_2023,2023,S4,D3,118899,Diesel_S4_2023,Diesel,151272,118000,D4,2023,HVO,12648.764683664,7563.6,1512.72,47062.45027566,56138.77027566,0.7007961734105181,2.0,D3
45,LNG_S4_2023,2023,S4,D3,118899,LNG_S4_2023,LNG,193454,118000,D4,2023,LNG,49073.243635080005,9672.7,1934.54,19967.69141784,31574.93141784,0.49575980110582785,3.0,D3
46,LNG_S4_2023,2023,S4,D3,118899,LNG_S4_2023,LNG,193454,118000,D4,2023,BioLNG,7416.792842576001,9672.7,1934.54,21319.514082880003,32926.754082880005,0.98030312999835,1.0,D3
47,Diesel_S4_2023,2023,S4,D4,1809,Diesel_S4_2023,Diesel,151272,118000,D4,2023,B20,79078.90308788,7563.6,1512.72,31668.08417224,40744.40417224,0.19436068231499928,4.0,D4
48,Diesel_S4_2023,2023,S4,D4,1809,Diesel_S4_2023,Diesel,151272,118000,D4,2023,HVO,12648.764683664,7563.6,1512.72,47062.45027566,56138.77027566,0.7007961734105181,2.0,D4
49,LNG_S4_2023,2023,S4,D4,1809,LNG_S4_2023,LNG,193454,118000,D4,2023,LNG,49073.243635080005,9672.7,1934.54,19967.69141784,31574.93141784,0.49575980110582785,3.0,D4
50,LNG_S4_2023,2023,S4,D4,1809,LNG_S4_2023,LNG,193454,118000,D4,2023,BioLNG,7416.792842576001,9672.7,1934.54,21319.514082880003,32926.754082880005,0.98030312999835,1.0,D4
