Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,Consumption (unit_fuel/km),carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Operating_Cost,Topsis_Score,Rank,Distance
Diesel_S2_2023,2023,S2,D3,778008,Diesel_S2_2023,Diesel,2023,104000,106000,D4,HVO,0.223852,0.109155607648,5200.0,1040.0,0.40613692212,6240.40613692212,0.926561040356452,4.0,D3
LNG_S2_2023,2023,S2,D3,778008,LNG_S2_2023,LNG,2023,133000,106000,D4,LNG,0.165239,0.41081554941000004,6650.0,1330.0,0.16715907718,7980.16715907718,0.4322174238414303,2.0,D3
LNG_S2_2023,2023,S2,D3,778008,LNG_S2_2023,LNG,2023,133000,106000,D4,BioLNG,0.167185,0.063269324215,6650.0,1330.0,0.1818671867,7980.1818671867,0.8846073636307048,3.0,D3
Diesel_S2_2023,2023,S2,D4,133677,Diesel_S2_2023,Diesel,2023,104000,106000,D4,B20,0.223852,0.68243073016,5200.0,1040.0,0.27328747568,6240.27328747568,0.1153926363692952,1.0,D4
Diesel_S2_2023,2023,S2,D4,133677,Diesel_S2_2023,Diesel,2023,104000,106000,D4,HVO,0.223852,0.109155607648,5200.0,1040.0,0.40613692212,6240.40613692212,0.926561040356452,4.0,D4
LNG_S2_2023,2023,S2,D4,133677,LNG_S2_2023,LNG,2023,133000,106000,D4,LNG,0.165239,0.41081554941000004,6650.0,1330.0,0.16715907718,7980.16715907718,0.4322174238414303,2.0,D4
LNG_S2_2023,2023,S2,D4,133677,LNG_S2_2023,LNG,2023,133000,106000,D4,BioLNG,0.167185,0.063269324215,6650.0,1330.0,0.1818671867,7980.1818671867,0.8846073636307048,3.0,D4
BEV_S3_2023,2023,S3,D1,2183475,BEV_S3_2023,BEV,2023,309090,73000,D1,Electricity,0.898003,0.0,15454.5,3090.9,0.17222889337299999,18545.572228893376,0.6887644725932567,3.0,D1
Diesel_S3_2023,2023,S3,D1,2183475,Diesel_S3_2023,Diesel,2023,118181,73000,D4,B20,0.224082,0.68313190356,5909.05,1181.81,0.27356826887999997,7091.1335682688805,0.31123552740674326,1.0,D1
Diesel_S3_2023,2023,S3,D1,2183475,Diesel_S3_2023,Diesel,2023,118181,73000,D4,HVO,0.224082,0.10926776116800001,5909.05,1181.81,0.40655421342000003,7091.266554213421,0.8563942397316426,4.0,D1
LNG_S3_2023,2023,S3,D1,2183475,LNG_S3_2023,LNG,2023,151136,73000,D4,LNG,0.164823,0.40978129437,7556.8,1511.3600000000001,0.16673824326,9068.32673824326,0.4751512874674564,2.0,D1
LNG_S3_2023,2023,S3,D1,2183475,LNG_S3_2023,LNG,2023,151136,73000,D4,BioLNG,0.164684,0.062322848276,7556.8,1511.3600000000001,0.17914654888,9068.33914654888,0.8911491929533571,5.0,D1
Diesel_S3_2023,2023,S3,D2,2431901,Diesel_S3_2023,Diesel,2023,118181,73000,D4,B20,0.224082,0.68313190356,5909.05,1181.81,0.27356826887999997,7091.1335682688805,0.1151254520629476,1.0,D2
Diesel_S3_2023,2023,S3,D2,2431901,Diesel_S3_2023,Diesel,2023,118181,73000,D4,HVO,0.224082,0.10926776116800001,5909.05,1181.81,0.40655421342000003,7091.266554213421,0.9250637293072534,4.0,D2
LNG_S3_2023,2023,S3,D2,2431901,LNG_S3_2023,LNG,2023,151136,73000,D4,LNG,0.164823,0.40978129437,7556.8,1511.3600000000001,0.16673824326,9068.32673824326,0.4338394392966806,2.0,D2
LNG_S3_2023,2023,S3,D2,2431901,LNG_S3_2023,LNG,2023,151136,73000,D4,BioLNG,0.164684,0.062322848276,7556.8,1511.3600000000001,0.17914654888,9068.33914654888,0.8848745479370524,3.0,D2
Diesel_S3_2023,2023,S3,D3,1002466,Diesel_S3_2023,Diesel,2023,118181,73000,D4,B20,0.224082,0.68313190356,5909.05,1181.81,0.27356826887999997,7091.1335682688805,0.1151254520629476,1.0,D3
Diesel_S3_2023,2023,S3,D3,1002466,Diesel_S3_2023,Diesel,2023,118181,73000,D4,HVO,0.224082,0.10926776116800001,5909.05,1181.81,0.40655421342000003,7091.266554213421,0.9250637293072534,4.0,D3
LNG_S3_2023,2023,S3,D3,1002466,LNG_S3_2023,LNG,2023,151136,73000,D4,LNG,0.164823,0.40978129437,7556.8,1511.3600000000001,0.16673824326,9068.32673824326,0.4338394392966806,2.0,D3
LNG_S3_2023,2023,S3,D3,1002466,LNG_S3_2023,LNG,2023,151136,73000,D4,BioLNG,0.164684,0.062322848276,7556.8,1511.3600000000001,0.17914654888,9068.33914654888,0.8848745479370524,3.0,D3
Diesel_S3_2023,2023,S3,D4,205426,Diesel_S3_2023,Diesel,2023,118181,73000,D4,B20,0.224082,0.68313190356,5909.05,1181.81,0.27356826887999997,7091.1335682688805,0.1151254520629476,1.0,D4
Diesel_S3_2023,2023,S3,D4,205426,Diesel_S3_2023,Diesel,2023,118181,73000,D4,HVO,0.224082,0.10926776116800001,5909.05,1181.81,0.40655421342000003,7091.266554213421,0.9250637293072534,4.0,D4
LNG_S3_2023,2023,S3,D4,205426,LNG_S3_2023,LNG,2023,151136,73000,D4,LNG,0.164823,0.40978129437,7556.8,1511.3600000000001,0.16673824326,9068.32673824326,0.4338394392966806,2.0,D4
LNG_S3_2023,2023,S3,D4,205426,LNG_S3_2023,LNG,2023,151136,73000,D4,BioLNG,0.164684,0.062322848276,7556.8,1511.3600000000001,0.17914654888,9068.33914654888,0.8848745479370524,3.0,D4
BEV_S4_2023,2023,S4,D1,14576,BEV_S4_2023,BEV,2023,395636,118000,D1,Electricity,0.900664,0.0,19781.800000000003,3956.36,0.172739249224,23738.33273924923,0.6867981726414932,3.0,D1
Diesel_S4_2023,2023,S4,D1,14576,Diesel_S4_2023,Diesel,2023,151272,118000,D4,B20,0.219827,0.67016019566,7563.6,1512.72,0.26837359468,9076.588373594679,0.31320182735850677,1.0,D1
Diesel_S4_2023,2023,S4,D1,14576,Diesel_S4_2023,Diesel,2023,151272,118000,D4,HVO,0.219827,0.107192921048,7563.6,1512.72,0.39883432437,9076.718834324369,0.8566486420340482,4.0,D1
LNG_S4_2023,2023,S4,D1,14576,LNG_S4_2023,LNG,2023,193454,118000,D4,LNG,0.167274,0.41587494606000003,9672.7,1934.54,0.16921772388,11607.409217723882,0.461045065603917,2.0,D1
LNG_S4_2023,2023,S4,D1,14576,LNG_S4_2023,LNG,2023,193454,118000,D4,BioLNG,0.166088,0.062854176632,9672.7,1934.54,0.18067384816,11607.42067384816,0.889095616296633,5.0,D1
Diesel_S4_2023,2023,S4,D2,754717,Diesel_S4_2023,Diesel,2023,151272,118000,D4,B20,0.219827,0.67016019566,7563.6,1512.72,0.26837359468,9076.588373594679,0.11635134279392771,1.0,D2
Diesel_S4_2023,2023,S4,D2,754717,Diesel_S4_2023,Diesel,2023,151272,118000,D4,HVO,0.219827,0.107192921048,7563.6,1512.72,0.39883432437,9076.718834324369,0.9276641008134077,4.0,D2
LNG_S4_2023,2023,S4,D2,754717,LNG_S4_2023,LNG,2023,193454,118000,D4,LNG,0.167274,0.41587494606000003,9672.7,1934.54,0.16921772388,11607.409217723882,0.4126337156723387,2.0,D2
LNG_S4_2023,2023,S4,D2,754717,LNG_S4_2023,LNG,2023,193454,118000,D4,BioLNG,0.166088,0.062854176632,9672.7,1934.54,0.18067384816,11607.42067384816,0.8836486572060723,3.0,D2
Diesel_S4_2023,2023,S4,D3,118899,Diesel_S4_2023,Diesel,2023,151272,118000,D4,B20,0.219827,0.67016019566,7563.6,1512.72,0.26837359468,9076.588373594679,0.11635134279392771,1.0,D3
Diesel_S4_2023,2023,S4,D3,118899,Diesel_S4_2023,Diesel,2023,151272,118000,D4,HVO,0.219827,0.107192921048,7563.6,1512.72,0.39883432437,9076.718834324369,0.9276641008134077,4.0,D3
LNG_S4_2023,2023,S4,D3,118899,LNG_S4_2023,LNG,2023,193454,118000,D4,LNG,0.167274,0.41587494606000003,9672.7,1934.54,0.16921772388,11607.409217723882,0.4126337156723387,2.0,D3
LNG_S4_2023,2023,S4,D3,118899,LNG_S4_2023,LNG,2023,193454,118000,D4,BioLNG,0.166088,0.062854176632,9672.7,1934.54,0.18067384816,11607.42067384816,0.8836486572060723,3.0,D3
Diesel_S4_2023,2023,S4,D4,1809,Diesel_S4_2023,Diesel,2023,151272,118000,D4,B20,0.219827,0.67016019566,7563.6,1512.72,0.26837359468,9076.588373594679,0.11635134279392771,1.0,D4
Diesel_S4_2023,2023,S4,D4,1809,Diesel_S4_2023,Diesel,2023,151272,118000,D4,HVO,0.219827,0.107192921048,7563.6,1512.72,0.39883432437,9076.718834324369,0.9276641008134077,4.0,D4
LNG_S4_2023,2023,S4,D4,1809,LNG_S4_2023,LNG,2023,193454,118000,D4,LNG,0.167274,0.41587494606000003,9672.7,1934.54,0.16921772388,11607.409217723882,0.4126337156723387,2.0,D4
LNG_S4_2023,2023,S4,D4,1809,LNG_S4_2023,LNG,2023,193454,118000,D4,BioLNG,0.166088,0.062854176632,9672.7,1934.54,0.18067384816,11607.42067384816,0.8836486572060723,3.0,D4
