Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,Consumption (unit_fuel/km),carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Total_Cost,Topsis_Score,Rank,Distance
BEV_S3_2027,2027,S3,D2,2591566,BEV_S3_2027,BEV,2027,251756,73000,D2,Electricity,0.859516,0.0,12587.800000000001,2517.56,0.13999194946799998,266861.4999919495,0.7395950210371669,3.0,D2
Diesel_S3_2027,2027,S3,D2,2591566,Diesel_S3_2027,Diesel,2027,133014,73000,D4,B20,0.224082,0.68313190356,6650.700000000001,1330.14,0.29758761846000004,140995.13758761846,0.26040497896283316,5.0,D2
Diesel_S3_2027,2027,S3,D2,2591566,Diesel_S3_2027,Diesel,2027,133014,73000,D4,HVO,0.224082,0.10926776116800001,6650.700000000001,1330.14,0.38931334434000003,140995.22931334435,0.8506249377328104,2.0,D2
LNG_S3_2027,2027,S3,D2,2591566,LNG_S3_2027,LNG,2027,170105,73000,D4,LNG,0.161089,0.40049786091000006,8505.25,1701.05,0.159185572376,180311.45918557237,0.4455655629285426,4.0,D2
LNG_S3_2027,2027,S3,D2,2591566,LNG_S3_2027,LNG,2027,170105,73000,D4,BioLNG,0.160634,0.060790170326,8505.25,1701.05,0.17069290108,180311.4706929011,0.8695027891125955,1.0,D2
Diesel_S3_2027,2027,S3,D3,1137494,Diesel_S3_2027,Diesel,2027,133014,73000,D4,B20,0.224082,0.68313190356,6650.700000000001,1330.14,0.29758761846000004,140995.13758761846,0.1352918774959974,4.0,D3
Diesel_S3_2027,2027,S3,D3,1137494,Diesel_S3_2027,Diesel,2027,133014,73000,D4,HVO,0.224082,0.10926776116800001,6650.700000000001,1330.14,0.38931334434000003,140995.22931334435,0.9231178178155758,1.0,D3
LNG_S3_2027,2027,S3,D3,1137494,LNG_S3_2027,LNG,2027,170105,73000,D4,LNG,0.161089,0.40049786091000006,8505.25,1701.05,0.159185572376,180311.45918557237,0.44437833346676087,3.0,D3
LNG_S3_2027,2027,S3,D3,1137494,LNG_S3_2027,LNG,2027,170105,73000,D4,BioLNG,0.160634,0.060790170326,8505.25,1701.05,0.17069290108,180311.4706929011,0.8647081225040026,2.0,D3
Diesel_S3_2027,2027,S3,D4,224937,Diesel_S3_2027,Diesel,2027,133014,73000,D4,B20,0.224082,0.68313190356,6650.700000000001,1330.14,0.29758761846000004,140995.13758761846,0.1352918774959974,4.0,D4
Diesel_S3_2027,2027,S3,D4,224937,Diesel_S3_2027,Diesel,2027,133014,73000,D4,HVO,0.224082,0.10926776116800001,6650.700000000001,1330.14,0.38931334434000003,140995.22931334435,0.9231178178155758,1.0,D4
LNG_S3_2027,2027,S3,D4,224937,LNG_S3_2027,LNG,2027,170105,73000,D4,LNG,0.161089,0.40049786091000006,8505.25,1701.05,0.159185572376,180311.45918557237,0.44437833346676087,3.0,D4
LNG_S3_2027,2027,S3,D4,224937,LNG_S3_2027,LNG,2027,170105,73000,D4,BioLNG,0.160634,0.060790170326,8505.25,1701.05,0.17069290108,180311.4706929011,0.8647081225040026,2.0,D4
BEV_S4_2027,2027,S4,D1,16532,BEV_S4_2027,BEV,2027,322248,118000,D2,Electricity,0.856448,0.0,16112.400000000001,3222.48,0.13949225510399998,341583.0194922551,0.738228280182502,3.0,D1
Diesel_S4_2027,2027,S4,D1,16532,Diesel_S4_2027,Diesel,2027,170258,118000,D4,B20,0.219827,0.67016019566,8512.9,1702.58,0.29193685081,180473.7719368508,0.26177171981749814,5.0,D1
Diesel_S4_2027,2027,S4,D1,16532,Diesel_S4_2027,Diesel,2027,170258,118000,D4,HVO,0.219827,0.107192921048,8512.9,1702.58,0.38192083499,180473.86192083498,0.8507602085898631,2.0,D1
LNG_S4_2027,2027,S4,D1,16532,LNG_S4_2027,LNG,2027,217734,118000,D4,LNG,0.162424,0.40381692456000007,10886.7,2177.34,0.160504798016,230798.200504798,0.4321578422465845,4.0,D1
LNG_S4_2027,2027,S4,D1,16532,LNG_S4_2027,LNG,2027,217734,118000,D4,BioLNG,0.160223,0.060634631897,10886.7,2177.34,0.17025616425999998,230798.21025616425,0.8681437343403788,1.0,D1
BEV_S4_2027,2027,S4,D2,829347,BEV_S4_2027,BEV,2027,322248,118000,D2,Electricity,0.856448,0.0,16112.400000000001,3222.48,0.13949225510399998,341583.0194922551,0.738228280182502,3.0,D2
Diesel_S4_2027,2027,S4,D2,829347,Diesel_S4_2027,Diesel,2027,170258,118000,D4,B20,0.219827,0.67016019566,8512.9,1702.58,0.29193685081,180473.7719368508,0.26177171981749814,5.0,D2
Diesel_S4_2027,2027,S4,D2,829347,Diesel_S4_2027,Diesel,2027,170258,118000,D4,HVO,0.219827,0.107192921048,8512.9,1702.58,0.38192083499,180473.86192083498,0.8507602085898631,2.0,D2
LNG_S4_2027,2027,S4,D2,829347,LNG_S4_2027,LNG,2027,217734,118000,D4,LNG,0.162424,0.40381692456000007,10886.7,2177.34,0.160504798016,230798.200504798,0.4321578422465845,4.0,D2
LNG_S4_2027,2027,S4,D2,829347,LNG_S4_2027,LNG,2027,217734,118000,D4,BioLNG,0.160223,0.060634631897,10886.7,2177.34,0.17025616425999998,230798.21025616425,0.8681437343403788,1.0,D2
Diesel_S4_2027,2027,S4,D3,129765,Diesel_S4_2027,Diesel,2027,170258,118000,D4,B20,0.219827,0.67016019566,8512.9,1702.58,0.29193685081,180473.7719368508,0.13631425276974782,4.0,D3
Diesel_S4_2027,2027,S4,D3,129765,Diesel_S4_2027,Diesel,2027,170258,118000,D4,HVO,0.219827,0.107192921048,8512.9,1702.58,0.38192083499,180473.86192083498,0.9246246434556435,1.0,D3
LNG_S4_2027,2027,S4,D3,129765,LNG_S4_2027,LNG,2027,217734,118000,D4,LNG,0.162424,0.40381692456000007,10886.7,2177.34,0.160504798016,230798.200504798,0.42768615171637103,3.0,D3
LNG_S4_2027,2027,S4,D3,129765,LNG_S4_2027,LNG,2027,217734,118000,D4,BioLNG,0.160223,0.060634631897,10886.7,2177.34,0.17025616425999998,230798.21025616425,0.8636857472302522,2.0,D3
Diesel_S4_2027,2027,S4,D4,2019,Diesel_S4_2027,Diesel,2027,170258,118000,D4,B20,0.219827,0.67016019566,8512.9,1702.58,0.29193685081,180473.7719368508,0.13631425276974782,4.0,D4
Diesel_S4_2027,2027,S4,D4,2019,Diesel_S4_2027,Diesel,2027,170258,118000,D4,HVO,0.219827,0.107192921048,8512.9,1702.58,0.38192083499,180473.86192083498,0.9246246434556435,1.0,D4
LNG_S4_2027,2027,S4,D4,2019,LNG_S4_2027,LNG,2027,217734,118000,D4,LNG,0.162424,0.40381692456000007,10886.7,2177.34,0.160504798016,230798.200504798,0.42768615171637103,3.0,D4
LNG_S4_2027,2027,S4,D4,2019,LNG_S4_2027,LNG,2027,217734,118000,D4,BioLNG,0.160223,0.060634631897,10886.7,2177.34,0.17025616425999998,230798.21025616425,0.8636857472302522,2.0,D4
