Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Total_Cost,Topsis_Score,Rank,Distance,Year
Diesel_S4_2024,2024,S4,D4,1893,Diesel_S4_2024,Diesel,2024,155810,118000,D4,HVO,0.107192921048,7790.5,1558.1,0.3945367065199999,165158.9945367065,0.9279744797490208,1.0,D4,2024
LNG_S1_2025,2025,S1,D1,877707,LNG_S1_2025,LNG,2025,106090,102000,D4,BioLNG,0.062502606801,5304.5,1060.9,0.17756904726,112455.57756904728,0.8904303358725941,1.0,D1,2025
Diesel_S1_2025,2025,S1,D2,2836223,Diesel_S1_2025,Diesel,2025,90176,102000,D4,HVO,0.108747953984,4508.8,901.76,0.3959470667199999,95586.95594706672,0.9255390879900994,1.0,D2,2025
Diesel_S1_2025,2025,S1,D3,3446113,Diesel_S1_2025,Diesel,2025,90176,102000,D4,HVO,0.108747953984,4508.8,901.76,0.3959470667199999,95586.95594706672,0.9255390879900994,1.0,D3,2025
Diesel_S1_2025,2025,S1,D4,439767,Diesel_S1_2025,Diesel,2025,90176,102000,D4,HVO,0.108747953984,4508.8,901.76,0.3959470667199999,95586.95594706672,0.9255390879900994,1.0,D4,2025
LNG_S2_2025,2025,S2,D1,1082065,LNG_S2_2025,LNG,2025,141099,106000,D4,BioLNG,0.063269324215,7054.950000000001,1410.99,0.1797472809,149565.1197472809,0.8752144991280967,1.0,D1,2025
Diesel_S2_2025,2025,S2,D2,1410584,Diesel_S2_2025,Diesel,2025,110333,106000,D4,HVO,0.109155607648,5516.650000000001,1103.33,0.3974313178399999,116953.37743131784,0.9268708699009826,1.0,D2,2025
Diesel_S2_2025,2025,S2,D3,821678,Diesel_S2_2025,Diesel,2025,110333,106000,D4,HVO,0.109155607648,5516.650000000001,1103.33,0.3974313178399999,116953.37743131784,0.9268708699009826,1.0,D3,2025
Diesel_S2_2025,2025,S2,D4,137231,Diesel_S2_2025,Diesel,2025,110333,106000,D4,HVO,0.109155607648,5516.650000000001,1103.33,0.3974313178399999,116953.37743131784,0.9268708699009826,1.0,D4,2025
LNG_S3_2025,2025,S3,D1,2255136,LNG_S3_2025,LNG,2025,160340,73000,D4,BioLNG,0.062322848276,8017.0,1603.4,0.17705835576,169960.57705835576,0.8761940522616096,1.0,D1,2025
Diesel_S3_2025,2025,S3,D2,2501227,Diesel_S3_2025,Diesel,2025,125379,73000,D4,HVO,0.109267761168,6268.950000000001,1253.79,0.39783966444,132902.13783966444,0.9253786722457448,1.0,D2,2025
Diesel_S3_2025,2025,S3,D3,1053662,Diesel_S3_2025,Diesel,2025,125379,73000,D4,HVO,0.109267761168,6268.950000000001,1253.79,0.39783966444,132902.13783966444,0.9253786722457448,1.0,D3,2025
Diesel_S3_2025,2025,S3,D4,218537,Diesel_S3_2025,Diesel,2025,125379,73000,D4,HVO,0.109267761168,6268.950000000001,1253.79,0.39783966444,132902.13783966444,0.9253786722457448,1.0,D4,2025
LNG_S4_2025,2025,S4,D1,15615,LNG_S4_2025,LNG,2025,205235,118000,D4,BioLNG,0.062854176632,10261.75,2052.35,0.17856785232,217549.2785678523,0.8741581029611812,1.0,D1,2025
Diesel_S4_2025,2025,S4,D2,791079,Diesel_S4_2025,Diesel,2025,160485,118000,D4,HVO,0.107192921048,8024.25,1604.85,0.39028525234,170114.49028525234,0.9279744193571228,1.0,D2,2025
Diesel_S4_2025,2025,S4,D3,123252,Diesel_S4_2025,Diesel,2025,160485,118000,D4,HVO,0.107192921048,8024.25,1604.85,0.39028525234,170114.49028525234,0.9279744193571228,1.0,D3,2025
Diesel_S4_2025,2025,S4,D4,1927,Diesel_S4_2025,Diesel,2025,160485,118000,D4,HVO,0.107192921048,8024.25,1604.85,0.39028525234,170114.49028525234,0.9279744193571228,1.0,D4,2025
LNG_S1_2026,2026,S1,D1,884095,LNG_S1_2026,LNG,2026,109272,102000,D4,BioLNG,0.0617612448,5463.6,1092.72,0.174437952,115828.494437952,0.8885342504211547,1.0,D1,2026
LNG_S1_2026,2026,S1,D2,2909150,LNG_S1_2026,LNG,2026,109272,102000,D4,BioLNG,0.0617612448,5463.6,1092.72,0.174437952,115828.494437952,0.8885342504211547,1.0,D2,2026
Diesel_S1_2026,2026,S1,D3,3537030,Diesel_S1_2026,Diesel,2026,92881,102000,D4,HVO,0.108747953984,4644.05,928.81,0.3916807706399999,98454.25168077064,0.9244343553480424,1.0,D3,2026
Diesel_S1_2026,2026,S1,D4,446478,Diesel_S1_2026,Diesel,2026,92881,102000,D4,HVO,0.108747953984,4644.05,928.81,0.3916807706399999,98454.25168077064,0.9244343553480424,1.0,D4,2026
LNG_S2_2026,2026,S2,D1,1090703,LNG_S2_2026,LNG,2026,145332,106000,D4,BioLNG,0.062307332277,7266.6,1453.32,0.17598031698,154052.09598031698,0.8718926758200888,1.0,D1,2026
LNG_S2_2026,2026,S2,D2,1452683,LNG_S2_2026,LNG,2026,145332,106000,D4,BioLNG,0.062307332277,7266.6,1453.32,0.17598031698,154052.09598031698,0.8718926758200888,1.0,D2,2026
Diesel_S2_2026,2026,S2,D3,825939,Diesel_S2_2026,Diesel,2026,113643,106000,D4,HVO,0.109155607648,5682.150000000001,1136.43,0.39314902908,120461.97314902909,0.9254457961164724,1.0,D3,2026
Diesel_S2_2026,2026,S2,D4,141128,Diesel_S2_2026,Diesel,2026,113643,106000,D4,HVO,0.109155607648,5682.150000000001,1136.43,0.39314902908,120461.97314902909,0.9254457961164724,1.0,D4,2026
LNG_S3_2026,2026,S3,D1,2329773,LNG_S3_2026,LNG,2026,165150,73000,D4,BioLNG,0.062148387897,8257.5,1651.5,0.17553139578,175059.17553139577,0.8720465855046621,1.0,D1,2026
LNG_S3_2026,2026,S3,D2,2524893,LNG_S3_2026,LNG,2026,165150,73000,D4,BioLNG,0.062148387897,8257.5,1651.5,0.17553139578,175059.17553139577,0.8720465855046621,1.0,D2,2026
Diesel_S3_2026,2026,S3,D3,1103927,Diesel_S3_2026,Diesel,2026,129140,73000,D4,HVO,0.109267761168,6457.0,1291.4,0.39355297578,136888.79355297578,0.925119725788328,1.0,D3,2026
Diesel_S3_2026,2026,S3,D4,219181,Diesel_S3_2026,Diesel,2026,129140,73000,D4,HVO,0.109267761168,6457.0,1291.4,0.39355297578,136888.79355297578,0.925119725788328,1.0,D4,2026
LNG_S4_2026,2026,S4,D1,15916,LNG_S4_2026,LNG,2026,211393,118000,D4,BioLNG,0.062122275606,10569.65,2113.93,0.1754576444399999,224076.75545764444,0.8706476953049277,1.0,D1,2026
LNG_S4_2026,2026,S4,D2,794430,LNG_S4_2026,LNG,2026,211393,118000,D4,BioLNG,0.062122275606,10569.65,2113.93,0.1754576444399999,224076.75545764444,0.8706476953049277,1.0,D2,2026
Diesel_S4_2026,2026,S4,D3,126715,Diesel_S4_2026,Diesel,2026,165299,118000,D4,HVO,0.107192921048,8264.95,1652.99,0.38607996183,175217.32607996184,0.9268636787871494,1.0,D3,2026
Diesel_S4_2026,2026,S4,D4,1989,Diesel_S4_2026,Diesel,2026,165299,118000,D4,HVO,0.107192921048,8264.95,1652.99,0.38607996183,175217.32607996184,0.9268636787871494,1.0,D4,2026
LNG_S1_2027,2027,S1,D1,923004,LNG_S1_2027,LNG,2027,112550,102000,D4,BioLNG,0.060348532013,5627.5,1125.5,0.16945282354,119303.16945282354,0.8878142848788404,1.0,D1,2027
LNG_S1_2027,2027,S1,D2,3023153,LNG_S1_2027,LNG,2027,112550,102000,D4,BioLNG,0.060348532013,5627.5,1125.5,0.16945282354,119303.16945282354,0.8878142848788404,1.0,D2,2027
Diesel_S1_2027,2027,S1,D3,3581681,Diesel_S1_2027,Diesel,2027,95668,102000,D4,HVO,0.108747953984,4783.400000000001,956.68,0.38746130792,101408.46746130793,0.9223347811098948,1.0,D3,2027
Diesel_S1_2027,2027,S1,D4,467174,Diesel_S1_2027,Diesel,2027,95668,102000,D4,HVO,0.108747953984,4783.400000000001,956.68,0.38746130792,101408.46746130793,0.9223347811098948,1.0,D4,2027
LNG_S2_2027,2027,S2,D1,1114957,LNG_S2_2027,LNG,2027,149692,106000,D4,BioLNG,0.060993392069,7484.6,1496.92,0.17126352802,158673.69126352802,0.8691134011115497,1.0,D1,2027
LNG_S2_2027,2027,S2,D2,1480077,LNG_S2_2027,LNG,2027,149692,106000,D4,BioLNG,0.060993392069,7484.6,1496.92,0.17126352802,158673.69126352802,0.8691134011115497,1.0,D2,2027
Diesel_S2_2027,2027,S2,D3,862851,Diesel_S2_2027,Diesel,2027,117052,106000,D4,HVO,0.109155607648,5852.6,1170.52,0.38891374924,124075.50891374925,0.9235120359801232,1.0,D3,2027
Diesel_S2_2027,2027,S2,D4,146448,Diesel_S2_2027,Diesel,2027,117052,106000,D4,HVO,0.109155607648,5852.6,1170.52,0.38891374924,124075.50891374925,0.9235120359801232,1.0,D4,2027
LNG_S3_2027,2027,S3,D1,2381369,LNG_S3_2027,LNG,2027,170105,73000,D4,BioLNG,0.060790170326,8505.25,1701.05,0.17069290108,180311.4706929011,0.8695027891125955,1.0,D1,2027
LNG_S3_2027,2027,S3,D2,2591566,LNG_S3_2027,LNG,2027,170105,73000,D4,BioLNG,0.060790170326,8505.25,1701.05,0.17069290108,180311.4706929011,0.8695027891125955,1.0,D2,2027
Diesel_S3_2027,2027,S3,D3,1137494,Diesel_S3_2027,Diesel,2027,133014,73000,D4,HVO,0.109267761168,6650.700000000001,1330.14,0.38931334434,140995.22931334437,0.923117817815576,1.0,D3,2027
Diesel_S3_2027,2027,S3,D4,224937,Diesel_S3_2027,Diesel,2027,133014,73000,D4,HVO,0.109267761168,6650.700000000001,1330.14,0.38931334434,140995.22931334437,0.923117817815576,1.0,D4,2027
LNG_S4_2027,2027,S4,D1,16532,LNG_S4_2027,LNG,2027,217734,118000,D4,BioLNG,0.060634631897,10886.7,2177.34,0.1702561642599999,230798.21025616425,0.8681437343403788,1.0,D1,2027
LNG_S4_2027,2027,S4,D2,829347,LNG_S4_2027,LNG,2027,217734,118000,D4,BioLNG,0.060634631897,10886.7,2177.34,0.1702561642599999,230798.21025616425,0.8681437343403788,1.0,D2,2027
Diesel_S4_2027,2027,S4,D3,129765,Diesel_S4_2027,Diesel,2027,170258,118000,D4,HVO,0.107192921048,8512.9,1702.58,0.38192083499,180473.86192083496,0.9246246434556435,1.0,D3,2027
Diesel_S4_2027,2027,S4,D4,2019,Diesel_S4_2027,Diesel,2027,170258,118000,D4,HVO,0.107192921048,8512.9,1702.58,0.38192083499,180473.86192083496,0.9246246434556435,1.0,D4,2027
LNG_S1_2028,2028,S1,D1,968137,LNG_S1_2028,LNG,2028,115927,102000,D4,BioLNG,0.05893808986,5796.35,1159.27,0.1645252934,122882.7845252934,0.8875768853305953,1.0,D1,2028
LNG_S1_2028,2028,S1,D2,3114155,LNG_S1_2028,LNG,2028,115927,102000,D4,BioLNG,0.05893808986,5796.35,1159.27,0.1645252934,122882.7845252934,0.8875768853305953,1.0,D2,2028
Diesel_S1_2028,2028,S1,D3,3731269,Diesel_S1_2028,Diesel,2028,98538,102000,D4,HVO,0.108747953984,4926.900000000001,985.38,0.38328421824,104450.66328421824,0.9202454247535166,1.0,D3,2028
Diesel_S1_2028,2028,S1,D4,469168,Diesel_S1_2028,Diesel,2028,98538,102000,D4,HVO,0.108747953984,4926.900000000001,985.38,0.38328421824,104450.66328421824,0.9202454247535166,1.0,D4,2028
LNG_S2_2028,2028,S2,D1,1142178,LNG_S2_2028,LNG,2028,154183,106000,D4,BioLNG,0.059932249113,7709.150000000001,1541.83,0.16730048247,163434.14730048247,0.8670915729823644,1.0,D1,2028
LNG_S2_2028,2028,S2,D2,1546703,LNG_S2_2028,LNG,2028,154183,106000,D4,BioLNG,0.059932249113,7709.150000000001,1541.83,0.16730048247,163434.14730048247,0.8670915729823644,1.0,D2,2028
Diesel_S2_2028,2028,S2,D3,902415,Diesel_S2_2028,Diesel,2028,120564,106000,D4,HVO,0.109155607648,6028.200000000001,1205.64,0.38472100128,127798.22472100129,0.9219376094758776,1.0,D3,2028
Diesel_S2_2028,2028,S2,D4,148036,Diesel_S2_2028,Diesel,2028,120564,106000,D4,HVO,0.109155607648,6028.200000000001,1205.64,0.38472100128,127798.22472100129,0.9219376094758776,1.0,D4,2028
LNG_S3_2028,2028,S3,D1,2448472,LNG_S3_2028,LNG,2028,175208,73000,D4,BioLNG,0.058921438544,8760.4,1752.08,0.16447881136,185720.64447881136,0.8680228313586462,1.0,D1,2028
LNG_S3_2028,2028,S3,D2,2667924,LNG_S3_2028,LNG,2028,175208,73000,D4,BioLNG,0.058921438544,8760.4,1752.08,0.16447881136,185720.64447881136,0.8680228313586462,1.0,D2,2028
Diesel_S3_2028,2028,S3,D3,1155329,Diesel_S3_2028,Diesel,2028,137005,73000,D4,HVO,0.109267761168,6850.25,1370.05,0.38511628848,145225.68511628849,0.9203749564839404,1.0,D3,2028
Diesel_S3_2028,2028,S3,D4,233462,Diesel_S3_2028,Diesel,2028,137005,73000,D4,HVO,0.109267761168,6850.25,1370.05,0.38511628848,145225.68511628849,0.9203749564839404,1.0,D4,2028
LNG_S4_2028,2028,S4,D1,16863,LNG_S4_2028,LNG,2028,224266,118000,D4,BioLNG,0.059028158342,11213.3,2242.66,0.16477671898,237722.124776719,0.8664324865420121,1.0,D1,2028
LNG_S4_2028,2028,S4,D2,851953,LNG_S4_2028,LNG,2028,224266,118000,D4,BioLNG,0.059028158342,11213.3,2242.66,0.16477671898,237722.124776719,0.8664324865420121,1.0,D2,2028
Diesel_S4_2028,2028,S4,D3,133929,Diesel_S4_2028,Diesel,2028,175366,118000,D4,HVO,0.107192921048,8768.300000000001,1753.66,0.3778034752799999,185888.33780347527,0.9222108523689592,1.0,D3,2028
Diesel_S4_2028,2028,S4,D4,2066,Diesel_S4_2028,Diesel,2028,175366,118000,D4,HVO,0.107192921048,8768.300000000001,1753.66,0.3778034752799999,185888.33780347527,0.9222108523689592,1.0,D4,2028
LNG_S1_2029,2029,S1,D1,1009629,LNG_S1_2029,LNG,2029,119405,102000,D4,BioLNG,0.058423791259,5970.25,1194.05,0.16213710144,126569.46213710144,0.8866296300547485,1.0,D1,2029
LNG_S1_2029,2029,S1,D2,3188349,LNG_S1_2029,LNG,2029,119405,102000,D4,BioLNG,0.058423791259,5970.25,1194.05,0.16213710144,126569.46213710144,0.8866296300547485,1.0,D2,2029
LNG_S1_2029,2029,S1,D3,3892298,LNG_S1_2029,LNG,2029,119405,102000,D4,BioLNG,0.058423791259,5970.25,1194.05,0.16213710144,126569.46213710144,0.8866296300547485,1.0,D3,2029
Diesel_S1_2029,2029,S1,D4,484671,Diesel_S1_2029,Diesel,2029,101494,102000,D4,HVO,0.108747953984,5074.700000000001,1014.94,0.37915396192,107584.01915396193,0.9194843685150076,1.0,D4,2029
LNG_S2_2029,2029,S2,D1,1173616,LNG_S2_2029,LNG,2029,158808,106000,D4,BioLNG,0.058672804121,7940.400000000001,1588.08,0.16282815936,168336.64282815935,0.8650550834209905,1.0,D1,2029
LNG_S2_2029,2029,S2,D2,1608555,LNG_S2_2029,LNG,2029,158808,106000,D4,BioLNG,0.058672804121,7940.400000000001,1588.08,0.16282815936,168336.64282815935,0.8650550834209905,1.0,D2,2029
LNG_S2_2029,2029,S2,D3,916617,LNG_S2_2029,LNG,2029,158808,106000,D4,BioLNG,0.058672804121,7940.400000000001,1588.08,0.16282815936,168336.64282815935,0.8650550834209905,1.0,D3,2029
Diesel_S2_2029,2029,S2,D4,148322,Diesel_S2_2029,Diesel,2029,124181,106000,D4,HVO,0.109155607648,6209.05,1241.81,0.38057526224,131632.24057526223,0.9200994057125288,1.0,D4,2029
LNG_S3_2029,2029,S3,D1,2497153,LNG_S3_2029,LNG,2029,180464,73000,D4,BioLNG,0.058730705288,9023.2,1804.64,0.16298884608,191292.00298884607,0.8652754914598739,1.0,D1,2029
LNG_S3_2029,2029,S3,D2,2795108,LNG_S3_2029,LNG,2029,180464,73000,D4,BioLNG,0.058730705288,9023.2,1804.64,0.16298884608,191292.00298884607,0.8652754914598739,1.0,D2,2029
LNG_S3_2029,2029,S3,D3,1175528,LNG_S3_2029,LNG,2029,180464,73000,D4,BioLNG,0.058730705288,9023.2,1804.64,0.16298884608,191292.00298884607,0.8652754914598739,1.0,D3,2029
Diesel_S3_2029,2029,S3,D4,234155,Diesel_S3_2029,Diesel,2029,141115,73000,D4,HVO,0.109267761168,7055.75,1411.15,0.38096628984,149582.28096628984,0.9200898639841764,1.0,D4,2029
LNG_S4_2029,2029,S4,D1,17544,LNG_S4_2029,LNG,2029,230994,118000,D4,BioLNG,0.058494559352,11549.7,2309.94,0.16233349632,244853.80233349637,0.8641024677824897,1.0,D1,2029
LNG_S4_2029,2029,S4,D2,885863,LNG_S4_2029,LNG,2029,230994,118000,D4,BioLNG,0.058494559352,11549.7,2309.94,0.16233349632,244853.80233349637,0.8641024677824897,1.0,D2,2029
LNG_S4_2029,2029,S4,D3,135803,LNG_S4_2029,LNG,2029,230994,118000,D4,BioLNG,0.058494559352,11549.7,2309.94,0.16233349632,244853.80233349637,0.8641024677824897,1.0,D3,2029
Diesel_S4_2029,2029,S4,D4,2113,Diesel_S4_2029,Diesel,2029,180627,118000,D4,HVO,0.107192921048,9031.35,1806.27,0.37373227924,191464.99373227925,0.9214056445124572,1.0,D4,2029
BEV_S1_2030,2030,S1,D1,1009798,BEV_S1_2030,BEV,2030,130589,102000,D3,Electricity,0.0,6529.450000000001,1305.89,0.1250872413629999,138424.46508724138,0.8966811662102705,1.0,D1,2030
BEV_S1_2030,2030,S1,D2,3285854,BEV_S1_2030,BEV,2030,130589,102000,D3,Electricity,0.0,6529.450000000001,1305.89,0.1250872413629999,138424.46508724138,0.8966811662102705,1.0,D2,2030
BEV_S1_2030,2030,S1,D3,3959514,BEV_S1_2030,BEV,2030,130589,102000,D3,Electricity,0.0,6529.450000000001,1305.89,0.1250872413629999,138424.46508724138,0.8966811662102705,1.0,D3,2030
Diesel_S1_2030,2030,S1,D4,496273,Diesel_S1_2030,Diesel,2030,104539,102000,D4,HVO,0.108747953984,5226.950000000001,1045.39,0.3750683087999999,110811.7150683088,0.9194843526287892,1.0,D4,2030
LNG_S2_2030,2030,S2,D1,1231293,LNG_S2_2030,LNG,2030,163573,106000,D4,BioLNG,0.058672804121,8178.650000000001,1635.73,0.1618762199,173387.5418762199,0.8623438653025709,1.0,D1,2030
LNG_S2_2030,2030,S2,D2,1624238,LNG_S2_2030,LNG,2030,163573,106000,D4,BioLNG,0.058672804121,8178.650000000001,1635.73,0.1618762199,173387.5418762199,0.8623438653025709,1.0,D2,2030
LNG_S2_2030,2030,S2,D3,931478,LNG_S2_2030,LNG,2030,163573,106000,D4,BioLNG,0.058672804121,8178.650000000001,1635.73,0.1618762199,173387.5418762199,0.8623438653025709,1.0,D3,2030
Diesel_S2_2030,2030,S2,D4,155565,Diesel_S2_2030,Diesel,2030,127906,106000,D4,HVO,0.109155607648,6395.3,1279.06,0.3764742936,135580.7364742936,0.9200994706332706,1.0,D4,2030
LNG_S3_2030,2030,S3,D1,2518188,LNG_S3_2030,LNG,2030,185878,73000,D4,BioLNG,0.058730705288,9293.9,1858.78,0.1620359672,197030.8420359672,0.8625780259726988,1.0,D1,2030
LNG_S3_2030,2030,S3,D2,2800498,LNG_S3_2030,LNG,2030,185878,73000,D4,BioLNG,0.058730705288,9293.9,1858.78,0.1620359672,197030.8420359672,0.8625780259726988,1.0,D2,2030
LNG_S3_2030,2030,S3,D3,1216569,LNG_S3_2030,LNG,2030,185878,73000,D4,BioLNG,0.058730705288,9293.9,1858.78,0.1620359672,197030.8420359672,0.8625780259726988,1.0,D3,2030
Diesel_S3_2030,2030,S3,D4,240767,Diesel_S3_2030,Diesel,2030,145348,73000,D4,HVO,0.109267761168,7267.400000000001,1453.48,0.3768611076,154069.2568611076,0.920089892675864,1.0,D4,2030
LNG_S4_2030,2030,S4,D1,18168,LNG_S4_2030,LNG,2030,237924,118000,D4,BioLNG,0.058494559352,11896.2,2379.24,0.1613844488,252199.6013844488,0.8613899796494334,1.0,D1,2030
LNG_S4_2030,2030,S4,D2,919290,LNG_S4_2030,LNG,2030,237924,118000,D4,BioLNG,0.058494559352,11896.2,2379.24,0.1613844488,252199.6013844488,0.8613899796494334,1.0,D2,2030
LNG_S4_2030,2030,S4,D3,136344,LNG_S4_2030,LNG,2030,237924,118000,D4,BioLNG,0.058494559352,11896.2,2379.24,0.1613844488,252199.6013844488,0.8613899796494334,1.0,D3,2030
Diesel_S4_2030,2030,S4,D4,2114,Diesel_S4_2030,Diesel,2030,186046,118000,D4,HVO,0.107192921048,9302.3,1860.46,0.3697050486,197209.1297050486,0.9214056428151616,1.0,D4,2030
