Year,ID,Type,No_Vehicles,Fuel
2035,BEV_S4_2035,Buy,2,Unknown
2035,BEV_S3_2035,Buy,74,Unknown
2035,Diesel_S1_2035,Buy,15,Unknown
2035,Diesel_S2_2035,Buy,22,Unknown
2035,Diesel_S4_2035,Buy,28,Unknown
2035,Diesel_S3_2035,Buy,7,Unknown
2035,LNG_S1_2035,Buy,33,Unknown
2035,LNG_S2_2035,Buy,54,Unknown
2035,LNG_S4_2035,Buy,52,Unknown
2035,LNG_S3_2035,Buy,3,Unknown
2036,BEV_S1_2036,Buy,6,Unknown
2036,BEV_S2_2036,Buy,10,Unknown
2036,BEV_S4_2036,Buy,10,Unknown
2036,BEV_S3_2036,Buy,23,Unknown
2036,Diesel_S1_2036,Buy,50,Unknown
2036,Diesel_S2_2036,Buy,46,Unknown
2036,Diesel_S4_2036,Buy,75,Unknown
2036,Diesel_S3_2036,Buy,7,Unknown
2036,LNG_S1_2036,Buy,38,Unknown
2036,LNG_S2_2036,Buy,12,Unknown
2036,LNG_S4_2036,Buy,42,Unknown
2036,LNG_S3_2036,Buy,68,Unknown
2037,BEV_S1_2037,Buy,92,Unknown
2037,BEV_S2_2037,Buy,56,Unknown
2037,BEV_S4_2037,Buy,3,Unknown
2037,BEV_S3_2037,Buy,56,Unknown
2037,Diesel_S1_2037,Buy,8,Unknown
2037,Diesel_S2_2037,Buy,31,Unknown
2037,Diesel_S4_2037,Buy,62,Unknown
2037,Diesel_S3_2037,Buy,67,Unknown
2037,LNG_S1_2037,Buy,36,Unknown
2037,LNG_S2_2037,Buy,3,Unknown
2037,LNG_S4_2037,Buy,61,Unknown
2037,LNG_S3_2037,Buy,75,Unknown
2038,BEV_S1_2038,Buy,63,Unknown
2038,BEV_S2_2038,Buy,5,Unknown
2038,BEV_S4_2038,Buy,88,Unknown
2038,BEV_S3_2038,Buy,2,Unknown
2038,Diesel_S1_2038,Buy,70,Unknown
2038,Diesel_S2_2038,Buy,61,Unknown
2038,Diesel_S4_2038,Buy,6,Unknown
2038,Diesel_S3_2038,Buy,49,Unknown
2038,LNG_S1_2038,Buy,98,Unknown
2038,LNG_S2_2038,Buy,48,Unknown
2038,LNG_S4_2038,Buy,89,Unknown
2038,LNG_S3_2038,Buy,16,Unknown
2023,BEV_S1_2023,Use,1,Unknown
2023,BEV_S2_2023,Use,8,Unknown
2023,BEV_S4_2023,Use,27,Unknown
2023,BEV_S3_2023,Use,22,Unknown
2023,Diesel_S1_2023,Use,53,Unknown
2023,Diesel_S2_2023,Use,12,Unknown
2023,Diesel_S4_2023,Use,13,Unknown
2023,Diesel_S3_2023,Use,68,Unknown
2023,LNG_S1_2023,Use,79,Unknown
2023,LNG_S2_2023,Use,6,Unknown
2023,LNG_S4_2023,Use,4,Unknown
2023,LNG_S3_2023,Use,24,Unknown
2024,BEV_S1_2023,Use,1,Unknown
2024,BEV_S1_2024,Use,39,Unknown
2024,BEV_S2_2023,Use,8,Unknown
2024,BEV_S2_2024,Use,48,Unknown
2024,BEV_S4_2023,Use,27,Unknown
2024,BEV_S4_2024,Use,28,Unknown
2024,BEV_S3_2023,Use,22,Unknown
2024,BEV_S3_2024,Use,27,Unknown
2024,Diesel_S1_2023,Use,53,Unknown
2024,Diesel_S1_2024,Use,42,Unknown
2024,Diesel_S2_2023,Use,12,Unknown
2024,Diesel_S2_2024,Use,28,Unknown
2024,Diesel_S4_2023,Use,13,Unknown
2024,Diesel_S4_2024,Use,76,Unknown
2024,Diesel_S3_2023,Use,68,Unknown
2024,Diesel_S3_2024,Use,14,Unknown
2024,LNG_S1_2023,Use,79,Unknown
2024,LNG_S1_2024,Use,4,Unknown
2024,LNG_S2_2023,Use,6,Unknown
2024,LNG_S2_2024,Use,25,Unknown
2024,LNG_S4_2023,Use,4,Unknown
2024,LNG_S4_2024,Use,56,Unknown
2024,LNG_S3_2023,Use,24,Unknown
2024,LNG_S3_2024,Use,46,Unknown
2025,BEV_S1_2023,Use,1,Unknown
2025,BEV_S1_2024,Use,39,Unknown
2025,BEV_S1_2025,Use,20,Unknown
2025,BEV_S2_2023,Use,8,Unknown
2025,BEV_S2_2024,Use,48,Unknown
2025,BEV_S2_2025,Use,24,Unknown
2025,BEV_S4_2023,Use,27,Unknown
2025,BEV_S4_2024,Use,28,Unknown
2025,BEV_S3_2023,Use,22,Unknown
2025,BEV_S3_2024,Use,27,Unknown
2025,BEV_S3_2025,Use,42,Unknown
2025,Diesel_S1_2023,Use,53,Unknown
2025,Diesel_S1_2024,Use,42,Unknown
2025,Diesel_S1_2025,Use,30,Unknown
2025,Diesel_S2_2023,Use,12,Unknown
2025,Diesel_S2_2024,Use,28,Unknown
2025,Diesel_S4_2023,Use,13,Unknown
2025,Diesel_S4_2024,Use,76,Unknown
2025,Diesel_S4_2025,Use,20,Unknown
2025,Diesel_S3_2023,Use,68,Unknown
2025,Diesel_S3_2024,Use,14,Unknown
2025,Diesel_S3_2025,Use,15,Unknown
2025,LNG_S1_2023,Use,79,Unknown
2025,LNG_S1_2024,Use,4,Unknown
2025,LNG_S1_2025,Use,4,Unknown
2025,LNG_S2_2023,Use,6,Unknown
2025,LNG_S2_2024,Use,25,Unknown
2025,LNG_S2_2025,Use,9,Unknown
2025,LNG_S4_2023,Use,4,Unknown
2025,LNG_S4_2024,Use,56,Unknown
2025,LNG_S4_2025,Use,28,Unknown
2025,LNG_S3_2023,Use,24,Unknown
2025,LNG_S3_2024,Use,46,Unknown
2025,LNG_S3_2025,Use,49,Unknown
2026,BEV_S1_2023,Use,1,Unknown
2026,BEV_S1_2024,Use,39,Unknown
2026,BEV_S1_2025,Use,20,Unknown
2026,BEV_S1_2026,Use,42,Unknown
2026,BEV_S2_2023,Use,8,Unknown
2026,BEV_S2_2024,Use,48,Unknown
2026,BEV_S2_2025,Use,24,Unknown
2026,BEV_S2_2026,Use,99,Unknown
2026,BEV_S4_2023,Use,27,Unknown
2026,BEV_S4_2024,Use,28,Unknown
2026,BEV_S4_2026,Use,67,Unknown
2026,BEV_S3_2023,Use,22,Unknown
2026,BEV_S3_2024,Use,27,Unknown
2026,BEV_S3_2025,Use,42,Unknown
2026,BEV_S3_2026,Use,50,Unknown
2026,Diesel_S1_2023,Use,53,Unknown
2026,Diesel_S1_2024,Use,42,Unknown
2026,Diesel_S1_2025,Use,30,Unknown
2026,Diesel_S1_2026,Use,53,Unknown
2026,Diesel_S2_2023,Use,12,Unknown
2026,Diesel_S2_2024,Use,28,Unknown
2026,Diesel_S2_2026,Use,27,Unknown
2026,Diesel_S4_2023,Use,13,Unknown
2026,Diesel_S4_2024,Use,76,Unknown
2026,Diesel_S4_2025,Use,20,Unknown
2026,Diesel_S4_2026,Use,4,Unknown
2026,Diesel_S3_2023,Use,68,Unknown
2026,Diesel_S3_2024,Use,14,Unknown
2026,Diesel_S3_2025,Use,15,Unknown
2026,Diesel_S3_2026,Use,27,Unknown
2026,LNG_S1_2023,Use,79,Unknown
2026,LNG_S1_2024,Use,4,Unknown
2026,LNG_S1_2025,Use,4,Unknown
2026,LNG_S1_2026,Use,6,Unknown
2026,LNG_S2_2023,Use,6,Unknown
2026,LNG_S2_2024,Use,25,Unknown
2026,LNG_S2_2025,Use,9,Unknown
2026,LNG_S2_2026,Use,3,Unknown
2026,LNG_S4_2023,Use,4,Unknown
2026,LNG_S4_2024,Use,56,Unknown
2026,LNG_S4_2025,Use,28,Unknown
2026,LNG_S4_2026,Use,10,Unknown
2026,LNG_S3_2023,Use,24,Unknown
2026,LNG_S3_2024,Use,46,Unknown
2026,LNG_S3_2025,Use,49,Unknown
2026,LNG_S3_2026,Use,23,Unknown
2027,BEV_S1_2023,Use,1,Unknown
2027,BEV_S1_2024,Use,39,Unknown
2027,BEV_S1_2025,Use,20,Unknown
2027,BEV_S1_2026,Use,42,Unknown
2027,BEV_S1_2027,Use,9,Unknown
2027,BEV_S2_2023,Use,8,Unknown
2027,BEV_S2_2024,Use,48,Unknown
2027,BEV_S2_2025,Use,24,Unknown
2027,BEV_S2_2026,Use,99,Unknown
2027,BEV_S2_2027,Use,16,Unknown
2027,BEV_S4_2023,Use,27,Unknown
2027,BEV_S4_2024,Use,28,Unknown
2027,BEV_S4_2026,Use,67,Unknown
2027,BEV_S4_2027,Use,33,Unknown
2027,BEV_S3_2023,Use,22,Unknown
2027,BEV_S3_2024,Use,27,Unknown
2027,BEV_S3_2025,Use,42,Unknown
2027,BEV_S3_2026,Use,50,Unknown
2027,BEV_S3_2027,Use,59,Unknown
2027,Diesel_S1_2023,Use,53,Unknown
2027,Diesel_S1_2024,Use,42,Unknown
2027,Diesel_S1_2025,Use,30,Unknown
2027,Diesel_S1_2026,Use,53,Unknown
2027,Diesel_S1_2027,Use,6,Unknown
2027,Diesel_S2_2023,Use,12,Unknown
2027,Diesel_S2_2024,Use,28,Unknown
2027,Diesel_S2_2026,Use,27,Unknown
2027,Diesel_S2_2027,Use,12,Unknown
2027,Diesel_S4_2023,Use,13,Unknown
2027,Diesel_S4_2024,Use,76,Unknown
2027,Diesel_S4_2025,Use,20,Unknown
2027,Diesel_S4_2026,Use,4,Unknown
2027,Diesel_S4_2027,Use,22,Unknown
2027,Diesel_S3_2023,Use,68,Unknown
2027,Diesel_S3_2024,Use,14,Unknown
2027,Diesel_S3_2025,Use,15,Unknown
2027,Diesel_S3_2026,Use,27,Unknown
2027,Diesel_S3_2027,Use,5,Unknown
2027,LNG_S1_2023,Use,79,Unknown
2027,LNG_S1_2024,Use,4,Unknown
2027,LNG_S1_2025,Use,4,Unknown
2027,LNG_S1_2026,Use,6,Unknown
2027,LNG_S1_2027,Use,37,Unknown
2027,LNG_S2_2023,Use,6,Unknown
2027,LNG_S2_2024,Use,25,Unknown
2027,LNG_S2_2025,Use,9,Unknown
2027,LNG_S2_2026,Use,3,Unknown
2027,LNG_S2_2027,Use,3,Unknown
2027,LNG_S4_2023,Use,4,Unknown
2027,LNG_S4_2024,Use,56,Unknown
2027,LNG_S4_2025,Use,28,Unknown
2027,LNG_S4_2026,Use,10,Unknown
2027,LNG_S4_2027,Use,7,Unknown
2027,LNG_S3_2023,Use,24,Unknown
2027,LNG_S3_2024,Use,46,Unknown
2027,LNG_S3_2025,Use,49,Unknown
2027,LNG_S3_2026,Use,23,Unknown
2027,LNG_S3_2027,Use,12,Unknown
2028,BEV_S1_2023,Use,1,Unknown
2028,BEV_S1_2024,Use,39,Unknown
2028,BEV_S1_2025,Use,20,Unknown
2028,BEV_S1_2026,Use,42,Unknown
2028,BEV_S1_2027,Use,9,Unknown
2028,BEV_S1_2028,Use,65,Unknown
2028,BEV_S2_2023,Use,8,Unknown
2028,BEV_S2_2024,Use,48,Unknown
2028,BEV_S2_2025,Use,24,Unknown
2028,BEV_S2_2026,Use,99,Unknown
2028,BEV_S2_2027,Use,16,Unknown
2028,BEV_S2_2028,Use,97,Unknown
2028,BEV_S4_2023,Use,27,Unknown
2028,BEV_S4_2024,Use,28,Unknown
2028,BEV_S4_2026,Use,67,Unknown
2028,BEV_S4_2027,Use,33,Unknown
2028,BEV_S4_2028,Use,19,Unknown
2028,BEV_S3_2023,Use,22,Unknown
2028,BEV_S3_2024,Use,27,Unknown
2028,BEV_S3_2025,Use,42,Unknown
2028,BEV_S3_2026,Use,50,Unknown
2028,BEV_S3_2027,Use,59,Unknown
2028,BEV_S3_2028,Use,27,Unknown
2028,Diesel_S1_2023,Use,53,Unknown
2028,Diesel_S1_2024,Use,42,Unknown
2028,Diesel_S1_2025,Use,30,Unknown
2028,Diesel_S1_2026,Use,53,Unknown
2028,Diesel_S1_2027,Use,6,Unknown
2028,Diesel_S1_2028,Use,46,Unknown
2028,Diesel_S2_2023,Use,12,Unknown
2028,Diesel_S2_2024,Use,28,Unknown
2028,Diesel_S2_2026,Use,27,Unknown
2028,Diesel_S2_2027,Use,12,Unknown
2028,Diesel_S2_2028,Use,14,Unknown
2028,Diesel_S4_2023,Use,13,Unknown
2028,Diesel_S4_2024,Use,76,Unknown
2028,Diesel_S4_2025,Use,20,Unknown
2028,Diesel_S4_2026,Use,4,Unknown
2028,Diesel_S4_2027,Use,22,Unknown
2028,Diesel_S4_2028,Use,27,Unknown
2028,Diesel_S3_2023,Use,68,Unknown
2028,Diesel_S3_2024,Use,14,Unknown
2028,Diesel_S3_2025,Use,15,Unknown
2028,Diesel_S3_2026,Use,27,Unknown
2028,Diesel_S3_2027,Use,5,Unknown
2028,Diesel_S3_2028,Use,3,Unknown
2028,LNG_S1_2023,Use,79,Unknown
2028,LNG_S1_2024,Use,4,Unknown
2028,LNG_S1_2025,Use,4,Unknown
2028,LNG_S1_2026,Use,6,Unknown
2028,LNG_S1_2027,Use,37,Unknown
2028,LNG_S1_2028,Use,41,Unknown
2028,LNG_S2_2023,Use,6,Unknown
2028,LNG_S2_2024,Use,25,Unknown
2028,LNG_S2_2025,Use,9,Unknown
2028,LNG_S2_2026,Use,3,Unknown
2028,LNG_S2_2027,Use,3,Unknown
2028,LNG_S2_2028,Use,17,Unknown
2028,LNG_S4_2023,Use,4,Unknown
2028,LNG_S4_2024,Use,56,Unknown
2028,LNG_S4_2025,Use,28,Unknown
2028,LNG_S4_2026,Use,10,Unknown
2028,LNG_S4_2027,Use,7,Unknown
2028,LNG_S3_2023,Use,24,Unknown
2028,LNG_S3_2024,Use,46,Unknown
2028,LNG_S3_2025,Use,49,Unknown
2028,LNG_S3_2026,Use,23,Unknown
2028,LNG_S3_2027,Use,12,Unknown
2028,LNG_S3_2028,Use,39,Unknown
2029,BEV_S1_2023,Use,1,Unknown
2029,BEV_S1_2024,Use,39,Unknown
2029,BEV_S1_2025,Use,20,Unknown
2029,BEV_S1_2026,Use,42,Unknown
2029,BEV_S1_2027,Use,9,Unknown
2029,BEV_S1_2028,Use,65,Unknown
2029,BEV_S1_2029,Use,24,Unknown
2029,BEV_S2_2023,Use,8,Unknown
2029,BEV_S2_2024,Use,48,Unknown
2029,BEV_S2_2025,Use,24,Unknown
2029,BEV_S2_2026,Use,99,Unknown
2029,BEV_S2_2027,Use,16,Unknown
2029,BEV_S2_2028,Use,97,Unknown
2029,BEV_S2_2029,Use,58,Unknown
2029,BEV_S4_2023,Use,27,Unknown
2029,BEV_S4_2024,Use,28,Unknown
2029,BEV_S4_2026,Use,67,Unknown
2029,BEV_S4_2027,Use,33,Unknown
2029,BEV_S4_2028,Use,19,Unknown
2029,BEV_S4_2029,Use,23,Unknown
2029,BEV_S3_2023,Use,22,Unknown
2029,BEV_S3_2024,Use,27,Unknown
2029,BEV_S3_2025,Use,42,Unknown
2029,BEV_S3_2026,Use,50,Unknown
2029,BEV_S3_2027,Use,59,Unknown
2029,BEV_S3_2028,Use,27,Unknown
2029,BEV_S3_2029,Use,25,Unknown
2029,Diesel_S1_2023,Use,53,Unknown
2029,Diesel_S1_2024,Use,42,Unknown
2029,Diesel_S1_2025,Use,30,Unknown
2029,Diesel_S1_2026,Use,53,Unknown
2029,Diesel_S1_2027,Use,6,Unknown
2029,Diesel_S1_2028,Use,46,Unknown
2029,Diesel_S1_2029,Use,13,Unknown
2029,Diesel_S2_2023,Use,12,Unknown
2029,Diesel_S2_2024,Use,28,Unknown
2029,Diesel_S2_2026,Use,27,Unknown
2029,Diesel_S2_2027,Use,12,Unknown
2029,Diesel_S2_2028,Use,14,Unknown
2029,Diesel_S2_2029,Use,16,Unknown
2029,Diesel_S4_2023,Use,13,Unknown
2029,Diesel_S4_2024,Use,76,Unknown
2029,Diesel_S4_2025,Use,20,Unknown
2029,Diesel_S4_2026,Use,4,Unknown
2029,Diesel_S4_2027,Use,22,Unknown
2029,Diesel_S4_2028,Use,27,Unknown
2029,Diesel_S4_2029,Use,11,Unknown
2029,Diesel_S3_2023,Use,68,Unknown
2029,Diesel_S3_2024,Use,14,Unknown
2029,Diesel_S3_2025,Use,15,Unknown
2029,Diesel_S3_2026,Use,27,Unknown
2029,Diesel_S3_2027,Use,5,Unknown
2029,Diesel_S3_2028,Use,3,Unknown
2029,Diesel_S3_2029,Use,23,Unknown
2029,LNG_S1_2023,Use,79,Unknown
2029,LNG_S1_2024,Use,4,Unknown
2029,LNG_S1_2025,Use,4,Unknown
2029,LNG_S1_2026,Use,6,Unknown
2029,LNG_S1_2027,Use,37,Unknown
2029,LNG_S1_2028,Use,41,Unknown
2029,LNG_S1_2029,Use,55,Unknown
2029,LNG_S2_2023,Use,6,Unknown
2029,LNG_S2_2024,Use,25,Unknown
2029,LNG_S2_2025,Use,9,Unknown
2029,LNG_S2_2026,Use,3,Unknown
2029,LNG_S2_2027,Use,3,Unknown
2029,LNG_S2_2028,Use,17,Unknown
2029,LNG_S2_2029,Use,5,Unknown
2029,LNG_S4_2023,Use,4,Unknown
2029,LNG_S4_2024,Use,56,Unknown
2029,LNG_S4_2025,Use,28,Unknown
2029,LNG_S4_2026,Use,10,Unknown
2029,LNG_S4_2027,Use,7,Unknown
2029,LNG_S4_2029,Use,69,Unknown
2029,LNG_S3_2023,Use,24,Unknown
2029,LNG_S3_2024,Use,46,Unknown
2029,LNG_S3_2025,Use,49,Unknown
2029,LNG_S3_2026,Use,23,Unknown
2029,LNG_S3_2027,Use,12,Unknown
2029,LNG_S3_2028,Use,39,Unknown
2029,LNG_S3_2029,Use,69,Unknown
2030,BEV_S1_2023,Use,1,Unknown
2030,BEV_S1_2024,Use,39,Unknown
2030,BEV_S1_2025,Use,20,Unknown
2030,BEV_S1_2026,Use,42,Unknown
2030,BEV_S1_2027,Use,9,Unknown
2030,BEV_S1_2028,Use,65,Unknown
2030,BEV_S1_2029,Use,24,Unknown
2030,BEV_S1_2030,Use,48,Unknown
2030,BEV_S2_2023,Use,8,Unknown
2030,BEV_S2_2024,Use,48,Unknown
2030,BEV_S2_2025,Use,24,Unknown
2030,BEV_S2_2026,Use,99,Unknown
2030,BEV_S2_2027,Use,16,Unknown
2030,BEV_S2_2028,Use,97,Unknown
2030,BEV_S2_2029,Use,58,Unknown
2030,BEV_S2_2030,Use,72,Unknown
2030,BEV_S4_2023,Use,27,Unknown
2030,BEV_S4_2024,Use,28,Unknown
2030,BEV_S4_2026,Use,67,Unknown
2030,BEV_S4_2027,Use,33,Unknown
2030,BEV_S4_2028,Use,19,Unknown
2030,BEV_S4_2029,Use,23,Unknown
2030,BEV_S4_2030,Use,28,Unknown
2030,BEV_S3_2023,Use,22,Unknown
2030,BEV_S3_2024,Use,27,Unknown
2030,BEV_S3_2025,Use,42,Unknown
2030,BEV_S3_2026,Use,50,Unknown
2030,BEV_S3_2027,Use,59,Unknown
2030,BEV_S3_2028,Use,27,Unknown
2030,BEV_S3_2029,Use,25,Unknown
2030,BEV_S3_2030,Use,11,Unknown
2030,Diesel_S1_2023,Use,53,Unknown
2030,Diesel_S1_2024,Use,42,Unknown
2030,Diesel_S1_2025,Use,30,Unknown
2030,Diesel_S1_2026,Use,53,Unknown
2030,Diesel_S1_2027,Use,6,Unknown
2030,Diesel_S1_2028,Use,46,Unknown
2030,Diesel_S1_2029,Use,13,Unknown
2030,Diesel_S1_2030,Use,29,Unknown
2030,Diesel_S2_2023,Use,12,Unknown
2030,Diesel_S2_2024,Use,28,Unknown
2030,Diesel_S2_2026,Use,27,Unknown
2030,Diesel_S2_2027,Use,12,Unknown
2030,Diesel_S2_2028,Use,14,Unknown
2030,Diesel_S2_2029,Use,16,Unknown
2030,Diesel_S2_2030,Use,8,Unknown
2030,Diesel_S4_2023,Use,13,Unknown
2030,Diesel_S4_2024,Use,76,Unknown
2030,Diesel_S4_2025,Use,20,Unknown
2030,Diesel_S4_2026,Use,4,Unknown
2030,Diesel_S4_2027,Use,22,Unknown
2030,Diesel_S4_2028,Use,27,Unknown
2030,Diesel_S4_2029,Use,11,Unknown
2030,Diesel_S4_2030,Use,2,Unknown
2030,Diesel_S3_2023,Use,68,Unknown
2030,Diesel_S3_2024,Use,14,Unknown
2030,Diesel_S3_2025,Use,15,Unknown
2030,Diesel_S3_2026,Use,27,Unknown
2030,Diesel_S3_2027,Use,5,Unknown
2030,Diesel_S3_2028,Use,3,Unknown
2030,Diesel_S3_2029,Use,23,Unknown
2030,Diesel_S3_2030,Use,44,Unknown
2030,LNG_S1_2023,Use,79,Unknown
2030,LNG_S1_2024,Use,4,Unknown
2030,LNG_S1_2025,Use,4,Unknown
2030,LNG_S1_2026,Use,6,Unknown
2030,LNG_S1_2027,Use,37,Unknown
2030,LNG_S1_2028,Use,41,Unknown
2030,LNG_S1_2029,Use,55,Unknown
2030,LNG_S1_2030,Use,40,Unknown
2030,LNG_S2_2023,Use,6,Unknown
2030,LNG_S2_2024,Use,25,Unknown
2030,LNG_S2_2025,Use,9,Unknown
2030,LNG_S2_2026,Use,3,Unknown
2030,LNG_S2_2027,Use,3,Unknown
2030,LNG_S2_2028,Use,17,Unknown
