Unnamed: 0,Allocation,Year,Size,Distance_x,Demand (km),ID,Vehicle,Cost ($),Yearly range (km),Distance_y,Operating Year,Fuel,carbon_emissions,insurance_cost,maintenance_cost,fuel_costs,Total_Cost,Topsis_Score,Rank,Distance
21,LNG_S1_2023,2025,S1,D2,2836223,LNG_S1_2023,LNG,100000,102000,D4,2025,LNG,41971.14852966,7000.000000000001,5000.0,16878.877872048,28878.877872048,0.5056021658339959,9.0,D2
22,LNG_S1_2023,2025,S1,D2,2836223,LNG_S1_2023,LNG,100000,102000,D4,2025,BioLNG,6375.2658937020005,7000.000000000001,5000.0,18112.04282052,30112.04282052,0.8951334864289036,3.0,D2
23,LNG_S1_2024,2025,S1,D2,2836223,LNG_S1_2024,LNG,103000,102000,D4,2025,LNG,41971.14852966,6180.0,3090.0,16878.877872048,26148.877872048,0.5228200762475527,8.0,D2
24,LNG_S1_2024,2025,S1,D2,2836223,LNG_S1_2024,LNG,103000,102000,D4,2025,BioLNG,6375.2658937020005,6180.0,3090.0,18112.04282052,27382.04282052,0.935113136094959,2.0,D2
25,LNG_S1_2025,2025,S1,D2,2836223,LNG_S1_2025,LNG,106090,102000,D4,2025,LNG,41971.14852966,5304.5,1060.9,16878.877872048,23244.277872048,0.5389926318818309,7.0,D2
26,LNG_S1_2025,2025,S1,D2,2836223,LNG_S1_2025,LNG,106090,102000,D4,2025,BioLNG,6375.2658937020005,5304.5,1060.9,18112.04282052,24477.442820520002,0.9801273845672108,1.0,D2
27,Diesel_S1_2023,2025,S1,D3,3446113,Diesel_S1_2023,Diesel,85000,102000,D4,2025,B20,69347.97596256,5950.000000000001,4250.0,28964.787301919994,39164.78730191999,0.16646605965796057,12.0,D3
28,Diesel_S1_2023,2025,S1,D3,3446113,Diesel_S1_2023,Diesel,85000,102000,D4,2025,HVO,11092.291306368,5950.000000000001,4250.0,40386.60080543999,50586.60080543999,0.6476183528724166,6.0,D3
29,Diesel_S1_2024,2025,S1,D3,3446113,Diesel_S1_2024,Diesel,87550,102000,D4,2025,B20,69347.97596256,5253.0,2626.5,28964.787301919994,36844.28730191999,0.19539228693410293,11.0,D3
30,Diesel_S1_2024,2025,S1,D3,3446113,Diesel_S1_2024,Diesel,87550,102000,D4,2025,HVO,11092.291306368,5253.0,2626.5,40386.60080543999,48266.10080543999,0.6673383765668351,5.0,D3
31,Diesel_S1_2025,2025,S1,D3,3446113,Diesel_S1_2025,Diesel,90176,102000,D4,2025,B20,69347.97596256,4508.8,901.76,28964.787301919994,34375.347301919996,0.22435000023675164,10.0,D3
32,Diesel_S1_2025,2025,S1,D3,3446113,Diesel_S1_2025,Diesel,90176,102000,D4,2025,HVO,11092.291306368,4508.8,901.76,40386.60080543999,45797.16080543999,0.6900613843500873,4.0,D3
33,LNG_S1_2023,2025,S1,D3,3446113,LNG_S1_2023,LNG,100000,102000,D4,2025,LNG,41971.14852966,7000.000000000001,5000.0,16878.877872048,28878.877872048,0.5056021658339959,9.0,D3
34,LNG_S1_2023,2025,S1,D3,3446113,LNG_S1_2023,LNG,100000,102000,D4,2025,BioLNG,6375.2658937020005,7000.000000000001,5000.0,18112.04282052,30112.04282052,0.8951334864289036,3.0,D3
35,LNG_S1_2024,2025,S1,D3,3446113,LNG_S1_2024,LNG,103000,102000,D4,2025,LNG,41971.14852966,6180.0,3090.0,16878.877872048,26148.877872048,0.5228200762475527,8.0,D3
36,LNG_S1_2024,2025,S1,D3,3446113,LNG_S1_2024,LNG,103000,102000,D4,2025,BioLNG,6375.2658937020005,6180.0,3090.0,18112.04282052,27382.04282052,0.935113136094959,2.0,D3
37,LNG_S1_2025,2025,S1,D3,3446113,LNG_S1_2025,LNG,106090,102000,D4,2025,LNG,41971.14852966,5304.5,1060.9,16878.877872048,23244.277872048,0.5389926318818309,7.0,D3
38,LNG_S1_2025,2025,S1,D3,3446113,LNG_S1_2025,LNG,106090,102000,D4,2025,BioLNG,6375.2658937020005,5304.5,1060.9,18112.04282052,24477.442820520002,0.9801273845672108,1.0,D3
39,Diesel_S1_2023,2025,S1,D4,439767,Diesel_S1_2023,Diesel,85000,102000,D4,2025,B20,69347.97596256,5950.000000000001,4250.0,28964.787301919994,39164.78730191999,0.16646605965796057,12.0,D4
40,Diesel_S1_2023,2025,S1,D4,439767,Diesel_S1_2023,Diesel,85000,102000,D4,2025,HVO,11092.291306368,5950.000000000001,4250.0,40386.60080543999,50586.60080543999,0.6476183528724166,6.0,D4
41,Diesel_S1_2024,2025,S1,D4,439767,Diesel_S1_2024,Diesel,87550,102000,D4,2025,B20,69347.97596256,5253.0,2626.5,28964.787301919994,36844.28730191999,0.19539228693410293,11.0,D4
42,Diesel_S1_2024,2025,S1,D4,439767,Diesel_S1_2024,Diesel,87550,102000,D4,2025,HVO,11092.291306368,5253.0,2626.5,40386.60080543999,48266.10080543999,0.6673383765668351,5.0,D4
43,Diesel_S1_2025,2025,S1,D4,439767,Diesel_S1_2025,Diesel,90176,102000,D4,2025,B20,69347.97596256,4508.8,901.76,28964.787301919994,34375.347301919996,0.22435000023675164,10.0,D4
44,Diesel_S1_2025,2025,S1,D4,439767,Diesel_S1_2025,Diesel,90176,102000,D4,2025,HVO,11092.291306368,4508.8,901.76,40386.60080543999,45797.16080543999,0.6900613843500873,4.0,D4
45,LNG_S1_2023,2025,S1,D4,439767,LNG_S1_2023,LNG,100000,102000,D4,2025,LNG,41971.14852966,7000.000000000001,5000.0,16878.877872048,28878.877872048,0.5056021658339959,9.0,D4
46,LNG_S1_2023,2025,S1,D4,439767,LNG_S1_2023,LNG,100000,102000,D4,2025,BioLNG,6375.2658937020005,7000.000000000001,5000.0,18112.04282052,30112.04282052,0.8951334864289036,3.0,D4
47,LNG_S1_2024,2025,S1,D4,439767,LNG_S1_2024,LNG,103000,102000,D4,2025,LNG,41971.14852966,6180.0,3090.0,16878.877872048,26148.877872048,0.5228200762475527,8.0,D4
48,LNG_S1_2024,2025,S1,D4,439767,LNG_S1_2024,LNG,103000,102000,D4,2025,BioLNG,6375.2658937020005,6180.0,3090.0,18112.04282052,27382.04282052,0.935113136094959,2.0,D4
49,LNG_S1_2025,2025,S1,D4,439767,LNG_S1_2025,LNG,106090,102000,D4,2025,LNG,41971.14852966,5304.5,1060.9,16878.877872048,23244.277872048,0.5389926318818309,7.0,D4
50,LNG_S1_2025,2025,S1,D4,439767,LNG_S1_2025,LNG,106090,102000,D4,2025,BioLNG,6375.2658937020005,5304.5,1060.9,18112.04282052,24477.442820520002,0.9801273845672108,1.0,D4
51,BEV_S2_2023,2025,S2,D1,1082065,BEV_S2_2023,BEV,272000,106000,D1,2025,Electricity,0.0,19040.0,13600.0,16801.2359136,49441.2359136,0.7618922756696626,6.0,D1
52,BEV_S2_2024,2025,S2,D1,1082065,BEV_S2_2024,BEV,258400,106000,D1,2025,Electricity,0.0,15504.0,7752.0,16801.2359136,40057.2359136,0.8442208304854923,5.0,D1
53,BEV_S2_2025,2025,S2,D1,1082065,BEV_S2_2025,BEV,245480,106000,D1,2025,Electricity,0.0,12274.0,2454.8,16801.2359136,31530.0359136,0.9338489063929001,1.0,D1
54,Diesel_S2_2023,2025,S2,D1,1082065,Diesel_S2_2023,Diesel,104000,106000,D4,2025,B20,72337.65739696,7280.000000000001,5200.0,30213.49695272,42693.49695272,0.1343887924506425,15.0,D1
55,Diesel_S2_2023,2025,S2,D1,1082065,Diesel_S2_2023,Diesel,104000,106000,D4,2025,HVO,11570.494410688,7280.000000000001,5200.0,42127.71969104,54607.71969104,0.6696765058219846,9.0,D1
56,Diesel_S2_2024,2025,S2,D1,1082065,Diesel_S2_2024,Diesel,107120,106000,D4,2025,B20,72337.65739696,6427.2,3213.6,30213.49695272,39854.296952720004,0.162257316222238,14.0,D1
57,Diesel_S2_2024,2025,S2,D1,1082065,Diesel_S2_2024,Diesel,107120,106000,D4,2025,HVO,11570.494410688,6427.2,3213.6,42127.71969104,51768.51969104,0.688939185025056,8.0,D1
58,Diesel_S2_2025,2025,S2,D1,1082065,Diesel_S2_2025,Diesel,110333,106000,D4,2025,B20,72337.65739696,5516.650000000001,1103.33,30213.49695272,36833.476952720004,0.19019053054707363,13.0,D1
59,Diesel_S2_2025,2025,S2,D1,1082065,Diesel_S2_2025,Diesel,110333,106000,D4,2025,HVO,11570.494410688,5516.650000000001,1103.33,42127.71969104,48747.699691040005,0.7106505263085333,7.0,D1
60,LNG_S2_2023,2025,S2,D1,1082065,LNG_S2_2023,LNG,133000,106000,D4,2025,LNG,43546.448237460005,9310.0,6650.0,17512.391423888,33472.391423887995,0.44429197096792356,12.0,D1
61,LNG_S2_2023,2025,S2,D1,1082065,LNG_S2_2023,LNG,133000,106000,D4,2025,BioLNG,6706.54836679,9310.0,6650.0,19053.2117754,35013.2117754,0.8612354022266292,4.0,D1
62,LNG_S2_2024,2025,S2,D1,1082065,LNG_S2_2024,LNG,136990,106000,D4,2025,LNG,43546.448237460005,8219.4,4109.7,17512.391423888,29841.491423887997,0.4613308031533428,11.0,D1
63,LNG_S2_2024,2025,S2,D1,1082065,LNG_S2_2024,LNG,136990,106000,D4,2025,BioLNG,6706.54836679,8219.4,4109.7,19053.2117754,31382.311775399998,0.8908490647911542,3.0,D1
64,LNG_S2_2025,2025,S2,D1,1082065,LNG_S2_2025,LNG,141099,106000,D4,2025,LNG,43546.448237460005,7054.950000000001,1410.99,17512.391423888,25978.331423887998,0.47826709536534734,10.0,D1
65,LNG_S2_2025,2025,S2,D1,1082065,LNG_S2_2025,LNG,141099,106000,D4,2025,BioLNG,6706.54836679,7054.950000000001,1410.99,19053.2117754,27519.1517754,0.9113856071879723,2.0,D1
66,Diesel_S2_2023,2025,S2,D2,1410584,Diesel_S2_2023,Diesel,104000,106000,D4,2025,B20,72337.65739696,7280.000000000001,5200.0,30213.49695272,42693.49695272,0.1601056253149267,12.0,D2
67,Diesel_S2_2023,2025,S2,D2,1410584,Diesel_S2_2023,Diesel,104000,106000,D4,2025,HVO,11570.494410688,7280.000000000001,5200.0,42127.71969104,54607.71969104,0.6580528806222894,6.0,D2
68,Diesel_S2_2024,2025,S2,D2,1410584,Diesel_S2_2024,Diesel,107120,106000,D4,2025,B20,72337.65739696,6427.2,3213.6,30213.49695272,39854.296952720004,0.1927160604108233,11.0,D2
69,Diesel_S2_2024,2025,S2,D2,1410584,Diesel_S2_2024,Diesel,107120,106000,D4,2025,HVO,11570.494410688,6427.2,3213.6,42127.71969104,51768.51969104,0.6808357360402406,5.0,D2
70,Diesel_S2_2025,2025,S2,D2,1410584,Diesel_S2_2025,Diesel,110333,106000,D4,2025,B20,72337.65739696,5516.650000000001,1103.33,30213.49695272,36833.476952720004,0.22507973570092915,10.0,D2
71,Diesel_S2_2025,2025,S2,D2,1410584,Diesel_S2_2025,Diesel,110333,106000,D4,2025,HVO,11570.494410688,5516.650000000001,1103.33,42127.71969104,48747.699691040005,0.7072972689160383,4.0,D2
72,LNG_S2_2023,2025,S2,D2,1410584,LNG_S2_2023,LNG,133000,106000,D4,2025,LNG,43546.448237460005,9310.0,6650.0,17512.391423888,33472.391423887995,0.4942124571634268,9.0,D2
73,LNG_S2_2023,2025,S2,D2,1410584,LNG_S2_2023,LNG,133000,106000,D4,2025,BioLNG,6706.54836679,9310.0,6650.0,19053.2117754,35013.2117754,0.875150683914032,3.0,D2
74,LNG_S2_2024,2025,S2,D2,1410584,LNG_S2_2024,LNG,136990,106000,D4,2025,LNG,43546.448237460005,8219.4,4109.7,17512.391423888,29841.491423887997,0.5155732125150925,8.0,D2
75,LNG_S2_2024,2025,S2,D2,1410584,LNG_S2_2024,LNG,136990,106000,D4,2025,BioLNG,6706.54836679,8219.4,4109.7,19053.2117754,31382.311775399998,0.922746400235558,2.0,D2
76,LNG_S2_2025,2025,S2,D2,1410584,LNG_S2_2025,LNG,141099,106000,D4,2025,LNG,43546.448237460005,7054.950000000001,1410.99,17512.391423888,25978.331423887998,0.5354021910028465,7.0,D2
77,LNG_S2_2025,2025,S2,D2,1410584,LNG_S2_2025,LNG,141099,106000,D4,2025,BioLNG,6706.54836679,7054.950000000001,1410.99,19053.2117754,27519.1517754,0.9771988750195545,1.0,D2
78,Diesel_S2_2023,2025,S2,D3,821678,Diesel_S2_2023,Diesel,104000,106000,D4,2025,B20,72337.65739696,7280.000000000001,5200.0,30213.49695272,42693.49695272,0.1601056253149267,12.0,D3
79,Diesel_S2_2023,2025,S2,D3,821678,Diesel_S2_2023,Diesel,104000,106000,D4,2025,HVO,11570.494410688,7280.000000000001,5200.0,42127.71969104,54607.71969104,0.6580528806222894,6.0,D3
80,Diesel_S2_2024,2025,S2,D3,821678,Diesel_S2_2024,Diesel,107120,106000,D4,2025,B20,72337.65739696,6427.2,3213.6,30213.49695272,39854.296952720004,0.1927160604108233,11.0,D3
81,Diesel_S2_2024,2025,S2,D3,821678,Diesel_S2_2024,Diesel,107120,106000,D4,2025,HVO,11570.494410688,6427.2,3213.6,42127.71969104,51768.51969104,0.6808357360402406,5.0,D3
82,Diesel_S2_2025,2025,S2,D3,821678,Diesel_S2_2025,Diesel,110333,106000,D4,2025,B20,72337.65739696,5516.650000000001,1103.33,30213.49695272,36833.476952720004,0.22507973570092915,10.0,D3
83,Diesel_S2_2025,2025,S2,D3,821678,Diesel_S2_2025,Diesel,110333,106000,D4,2025,HVO,11570.494410688,5516.650000000001,1103.33,42127.71969104,48747.699691040005,0.7072972689160383,4.0,D3
84,LNG_S2_2023,2025,S2,D3,821678,LNG_S2_2023,LNG,133000,106000,D4,2025,LNG,43546.448237460005,9310.0,6650.0,17512.391423888,33472.391423887995,0.4942124571634268,9.0,D3
85,LNG_S2_2023,2025,S2,D3,821678,LNG_S2_2023,LNG,133000,106000,D4,2025,BioLNG,6706.54836679,9310.0,6650.0,19053.2117754,35013.2117754,0.875150683914032,3.0,D3
86,LNG_S2_2024,2025,S2,D3,821678,LNG_S2_2024,LNG,136990,106000,D4,2025,LNG,43546.448237460005,8219.4,4109.7,17512.391423888,29841.491423887997,0.5155732125150925,8.0,D3
87,LNG_S2_2024,2025,S2,D3,821678,LNG_S2_2024,LNG,136990,106000,D4,2025,BioLNG,6706.54836679,8219.4,4109.7,19053.2117754,31382.311775399998,0.922746400235558,2.0,D3
88,LNG_S2_2025,2025,S2,D3,821678,LNG_S2_2025,LNG,141099,106000,D4,2025,LNG,43546.448237460005,7054.950000000001,1410.99,17512.391423888,25978.331423887998,0.5354021910028465,7.0,D3
89,LNG_S2_2025,2025,S2,D3,821678,LNG_S2_2025,LNG,141099,106000,D4,2025,BioLNG,6706.54836679,7054.950000000001,1410.99,19053.2117754,27519.1517754,0.9771988750195545,1.0,D3
90,Diesel_S2_2023,2025,S2,D4,137231,Diesel_S2_2023,Diesel,104000,106000,D4,2025,B20,72337.65739696,7280.000000000001,5200.0,30213.49695272,42693.49695272,0.1601056253149267,12.0,D4
91,Diesel_S2_2023,2025,S2,D4,137231,Diesel_S2_2023,Diesel,104000,106000,D4,2025,HVO,11570.494410688,7280.000000000001,5200.0,42127.71969104,54607.71969104,0.6580528806222894,6.0,D4
92,Diesel_S2_2024,2025,S2,D4,137231,Diesel_S2_2024,Diesel,107120,106000,D4,2025,B20,72337.65739696,6427.2,3213.6,30213.49695272,39854.296952720004,0.1927160604108233,11.0,D4
93,Diesel_S2_2024,2025,S2,D4,137231,Diesel_S2_2024,Diesel,107120,106000,D4,2025,HVO,11570.494410688,6427.2,3213.6,42127.71969104,51768.51969104,0.6808357360402406,5.0,D4
94,Diesel_S2_2025,2025,S2,D4,137231,Diesel_S2_2025,Diesel,110333,106000,D4,2025,B20,72337.65739696,5516.650000000001,1103.33,30213.49695272,36833.476952720004,0.22507973570092915,10.0,D4
95,Diesel_S2_2025,2025,S2,D4,137231,Diesel_S2_2025,Diesel,110333,106000,D4,2025,HVO,11570.494410688,5516.650000000001,1103.33,42127.71969104,48747.699691040005,0.7072972689160383,4.0,D4
96,LNG_S2_2023,2025,S2,D4,137231,LNG_S2_2023,LNG,133000,106000,D4,2025,LNG,43546.448237460005,9310.0,6650.0,17512.391423888,33472.391423887995,0.4942124571634268,9.0,D4
97,LNG_S2_2023,2025,S2,D4,137231,LNG_S2_2023,LNG,133000,106000,D4,2025,BioLNG,6706.54836679,9310.0,6650.0,19053.2117754,35013.2117754,0.875150683914032,3.0,D4
98,LNG_S2_2024,2025,S2,D4,137231,LNG_S2_2024,LNG,136990,106000,D4,2025,LNG,43546.448237460005,8219.4,4109.7,17512.391423888,29841.491423887997,0.5155732125150925,8.0,D4
99,LNG_S2_2024,2025,S2,D4,137231,LNG_S2_2024,LNG,136990,106000,D4,2025,BioLNG,6706.54836679,8219.4,4109.7,19053.2117754,31382.311775399998,0.922746400235558,2.0,D4
100,LNG_S2_2025,2025,S2,D4,137231,LNG_S2_2025,LNG,141099,106000,D4,2025,LNG,43546.448237460005,7054.950000000001,1410.99,17512.391423888,25978.331423887998,0.5354021910028465,7.0,D4
101,LNG_S2_2025,2025,S2,D4,137231,LNG_S2_2025,LNG,141099,106000,D4,2025,BioLNG,6706.54836679,7054.950000000001,1410.99,19053.2117754,27519.1517754,0.9771988750195545,1.0,D4
153,BEV_S3_2023,2025,S3,D1,2255136,BEV_S3_2023,BEV,309090,73000,D1,2025,Electricity,0.0,21636.300000000003,15454.5,11586.183774498,48676.983774498,0.7005619287342361,8.0,D1
154,BEV_S3_2024,2025,S3,D1,2255136,BEV_S3_2024,BEV,293636,73000,D1,2025,Electricity,0.0,17618.16,8809.08,11586.183774498,38013.423774498,0.7966999867477026,5.0,D1
155,BEV_S3_2025,2025,S3,D1,2255136,BEV_S3_2025,BEV,278954,73000,D1,2025,Electricity,0.0,13947.7,2789.54,11586.183774498,28323.423774498002,0.9087133338902319,2.0,D1
156,Diesel_S3_2023,2025,S3,D1,2255136,Diesel_S3_2023,Diesel,118181,73000,D4,2025,B20,49868.62895988,8272.67,5909.05,20828.78715366,35010.50715366,0.17455455148501747,15.0,D1
157,Diesel_S3_2023,2025,S3,D1,2255136,Diesel_S3_2023,Diesel,118181,73000,D4,2025,HVO,7976.546565264,8272.67,5909.05,29042.29550412,43224.015504120005,0.691456282573147,9.0,D1
158,Diesel_S3_2024,2025,S3,D1,2255136,Diesel_S3_2024,Diesel,121727,73000,D4,2025,B20,49868.62895988,7303.62,3651.81,20828.78715366,31784.21715366,0.20873145935207535,14.0,D1
159,Diesel_S3_2024,2025,S3,D1,2255136,Diesel_S3_2024,Diesel,121727,73000,D4,2025,HVO,7976.546565264,7303.62,3651.81,29042.29550412,39997.72550412,0.7198107515345732,7.0,D1
160,Diesel_S3_2025,2025,S3,D1,2255136,Diesel_S3_2025,Diesel,125379,73000,D4,2025,B20,49868.62895988,6268.950000000001,1253.79,20828.78715366,28351.52715366,0.24222780286791834,13.0,D1
161,Diesel_S3_2025,2025,S3,D1,2255136,Diesel_S3_2025,Diesel,125379,73000,D4,2025,HVO,7976.546565264,6268.950000000001,1253.79,29042.29550412,36565.03550412,0.7514457962347014,6.0,D1
162,LNG_S3_2023,2025,S3,D1,2255136,LNG_S3_2023,LNG,151136,73000,D4,2025,LNG,29914.03448901,10579.52,7556.8,12030.057610728,30166.377610728,0.446427950586483,12.0,D1
163,LNG_S3_2023,2025,S3,D1,2255136,LNG_S3_2023,LNG,151136,73000,D4,2025,BioLNG,4549.567924148,10579.52,7556.8,12925.259970479998,31061.579970479997,0.8448358809476009,4.0,D1
164,LNG_S3_2024,2025,S3,D1,2255136,LNG_S3_2024,LNG,155670,73000,D4,2025,LNG,29914.03448901,9340.2,4670.099999999999,12030.057610728,26040.357610728,0.47065778291153265,11.0,D1
165,LNG_S3_2024,2025,S3,D1,2255136,LNG_S3_2024,LNG,155670,73000,D4,2025,BioLNG,4549.567924148,9340.2,4670.099999999999,12925.259970479998,26935.559970479997,0.8870419623620707,3.0,D1
166,LNG_S3_2025,2025,S3,D1,2255136,LNG_S3_2025,LNG,160340,73000,D4,2025,LNG,29914.03448901,8017.0,1603.4,12030.057610728,21650.457610728,0.49394300883102843,10.0,D1
167,LNG_S3_2025,2025,S3,D1,2255136,LNG_S3_2025,LNG,160340,73000,D4,2025,BioLNG,4549.567924148,8017.0,1603.4,12925.259970479998,22545.659970479996,0.9153502237377692,1.0,D1
168,Diesel_S3_2023,2025,S3,D2,2501227,Diesel_S3_2023,Diesel,118181,73000,D4,2025,B20,49868.62895988,8272.67,5909.05,20828.78715366,35010.50715366,0.13946204532544754,12.0,D2
169,Diesel_S3_2023,2025,S3,D2,2501227,Diesel_S3_2023,Diesel,118181,73000,D4,2025,HVO,7976.546565264,8272.67,5909.05,29042.29550412,43224.015504120005,0.6736990413283687,6.0,D2
170,Diesel_S3_2024,2025,S3,D2,2501227,Diesel_S3_2024,Diesel,121727,73000,D4,2025,B20,49868.62895988,7303.62,3651.81,20828.78715366,31784.21715366,0.18641578420070132,11.0,D2
171,Diesel_S3_2024,2025,S3,D2,2501227,Diesel_S3_2024,Diesel,121727,73000,D4,2025,HVO,7976.546565264,7303.62,3651.81,29042.29550412,39997.72550412,0.7076639185286275,5.0,D2
172,Diesel_S3_2025,2025,S3,D2,2501227,Diesel_S3_2025,Diesel,125379,73000,D4,2025,B20,49868.62895988,6268.950000000001,1253.79,20828.78715366,28351.52715366,0.2315949188877667,10.0,D2
173,Diesel_S3_2025,2025,S3,D2,2501227,Diesel_S3_2025,Diesel,125379,73000,D4,2025,HVO,7976.546565264,6268.950000000001,1253.79,29042.29550412,36565.03550412,0.7482857953677526,4.0,D2
174,LNG_S3_2023,2025,S3,D2,2501227,LNG_S3_2023,LNG,151136,73000,D4,2025,LNG,29914.03448901,10579.52,7556.8,12030.057610728,30166.377610728,0.4676806151173473,9.0,D2
175,LNG_S3_2023,2025,S3,D2,2501227,LNG_S3_2023,LNG,151136,73000,D4,2025,BioLNG,4549.567924148,10579.52,7556.8,12925.259970479998,31061.579970479997,0.8425954072500841,3.0,D2
176,LNG_S3_2024,2025,S3,D2,2501227,LNG_S3_2024,LNG,155670,73000,D4,2025,LNG,29914.03448901,9340.2,4670.099999999999,12030.057610728,26040.357610728,0.49847702850438524,8.0,D2
177,LNG_S3_2024,2025,S3,D2,2501227,LNG_S3_2024,LNG,155670,73000,D4,2025,BioLNG,4549.567924148,9340.2,4670.099999999999,12925.259970479998,26935.559970479997,0.9069774184650052,2.0,D2
178,LNG_S3_2025,2025,S3,D2,2501227,LNG_S3_2025,LNG,160340,73000,D4,2025,LNG,29914.03448901,8017.0,1603.4,12030.057610728,21650.457610728,0.5269205930539491,7.0,D2
179,LNG_S3_2025,2025,S3,D2,2501227,LNG_S3_2025,LNG,160340,73000,D4,2025,BioLNG,4549.567924148,8017.0,1603.4,12925.259970479998,22545.659970479996,0.9834150009503254,1.0,D2
180,Diesel_S3_2023,2025,S3,D3,1053662,Diesel_S3_2023,Diesel,118181,73000,D4,2025,B20,49868.62895988,8272.67,5909.05,20828.78715366,35010.50715366,0.13946204532544754,12.0,D3
